radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,7,20205,2227,,13.308816,52.512122,147481,14586,1,1299573448,1453335612,-64
GSM,262,2,685,6132,,7.018766,49.223543,14976,5336,1,1299584114,1453337312,-74
GSM,262,1,14660,39399,,9.879624,51.335388,101430,4049,1,1299693112,1453335486,-57
GSM,262,7,20202,33063,,13.327494,52.516999,148854,6412,1,1301668631,1453335612,-61
GSM,262,7,20205,2472,,13.296922,52.507817,132401,11216,1,1301668631,1453335612,-65
GSM,262,7,20205,22279,,13.301944,52.49313,140387,41416,1,1301759017,1453335742,-63
GSM,262,2,323,2063,,13.234158,52.637024,107054,27672,1,1302844384,1453337701,-55
GSM,262,2,323,59151,,13.226567,52.611433,133482,9368,1,1302844384,1453336789,-85
GSM,262,2,321,10522,,13.291904,52.532979,123204,79763,1,1302845958,1453336130,-58
GSM,262,2,323,33722,,13.271971,52.532267,97866,92087,1,1302845958,1453336130,-60
GSM,262,2,321,15151,,13.283409,52.531607,98662,111060,1,1302845958,1453335965,-53
GSM,262,2,381,18200,,12.829914,52.59609,143940,10863,1,1302849227,1453334436,-90
GSM,262,2,321,15155,,13.287963,52.529251,88232,13095,1,1303191876,1453336130,-63
GSM,262,2,301,17221,,12.915401,52.709182,115577,75132,1,1303317080,1453337441,-53
GSM,262,2,301,5901,,12.935781,52.688761,75815,132117,1,1303318838,1453337571,-80
GSM,262,2,301,17402,,12.544687,53.048044,137858,22996,1,1303320171,1453334872,-61
GSM,262,2,301,5710,,12.53023,53.11505,125862,6625,1,1303320171,1453335480,-83
GSM,262,2,301,9220,,12.560712,53.033344,125797,30935,1,1303320171,1453335087,-66
GSM,262,2,409,15002,,10.343923,53.56376,71795,21253,1,1303326828,1453336789,-76
GSM,262,2,409,2173,,10.281063,53.564034,101117,18871,1,1303326828,1453336542,-63
GSM,262,2,404,2092,,9.475669,53.583495,139381,25627,1,1303397026,1453335087,-72
GSM,262,7,20225,22055,,13.390942,52.46867,177029,12936,1,1303411551,1453336131,-56
GSM,262,3,432,18492,,10.129178,51.8806,120593,70592,1,1303423536,1453334888,-73
GSM,262,2,381,2851,,12.573997,52.739037,77377,7895,1,1303474926,1453335087,-73
GSM,262,2,381,2852,,12.585801,52.767839,77987,3992,1,1303474926,1453335087,-73
GSM,262,2,381,3711,,12.424859,52.762889,104343,6600,1,1303474926,1453335612,-96
GSM,262,3,145,59725,,9.914099,51.619839,87541,16571,1,1303478724,1453336658,-66
GSM,262,3,145,47415,,9.898916,51.555754,63696,11254,1,1303478724,1453336131,-53
GSM,262,3,145,63265,,9.906995,51.596403,86073,17442,1,1303478724,1453335872,-62
GSM,262,3,145,28915,,9.868946,51.476316,108869,11992,1,1303486227,1453337751,-82
GSM,262,3,145,20855,,9.885874,51.518546,55222,6518,1,1303486227,1453335523,-77
GSM,262,3,145,1885,,9.875811,51.495154,108143,12358,1,1303486227,1453335496,-76
GSM,262,3,145,59005,,9.834679,51.432384,75212,7318,1,1303486469,1453337571,-97
GSM,262,3,145,38815,,9.880042,51.499311,125059,17045,1,1303487075,1453337960,-69
GSM,262,3,145,45825,,9.909424,51.56383,39107,3581,1,1303488769,1453335872,-82
GSM,262,3,145,36585,,9.864123,51.46889,107536,17120,1,1303490948,1453337960,-70
GSM,262,2,404,14603,,9.766636,53.689346,76950,11807,1,1303579424,1453335611,-83
GSM,262,1,18513,54368,,11.34808,52.205203,149281,2976,1,1303590922,1453334957,-80
GSM,262,2,380,4540,,11.213675,52.20213,188719,88492,1,1303590922,1453336001,-72
GSM,262,3,31,25971,,10.076803,53.529575,153682,22625,1,1303726597,1453337835,-59
GSM,262,2,301,9730,,12.856625,52.720897,154674,51557,1,1303736392,1453334958,-86
GSM,262,7,20205,53104,,13.308369,52.501876,92846,13456,1,1303891331,1453335612,-67
GSM,262,2,321,36713,,13.287736,52.514786,89624,28212,1,1303891452,1453336001,-65
GSM,262,2,317,1397,,13.534522,52.537003,135603,4937,1,1304173809,1453337830,-66
GSM,262,2,321,703,,13.286482,52.516393,97930,55410,1,1304516748,1453336001,-51
GSM,262,2,321,15153,,13.280471,52.524769,97795,66955,1,1304516748,1453336130,-53
GSM,262,7,20208,22062,,13.453159,52.458658,155279,7035,1,1304784457,1453336395,-60
GSM,262,7,20208,2302,,13.441539,52.46179,154662,5699,1,1304784457,1453336071,-59
GSM,262,7,20228,42043,,13.450133,52.465974,161725,4087,1,1304784457,1453336261,-59
GSM,262,7,20208,2311,,13.432866,52.468462,154450,4594,1,1304784457,1453336261,-71
GSM,262,7,20208,22311,,13.451345,52.451001,178964,8174,1,1304784457,1453336789,-71
GSM,262,7,20208,42303,,13.446594,52.453607,154650,7151,1,1304784457,1453336395,-69
GSM,262,1,17426,40228,,11.599694,49.895716,139228,10302,1,1304947912,1453335354,-51
GSM,262,3,4417,55777,,11.584462,49.895334,139936,2167,1,1304947912,1453335354,-78
