,percent,provider,diameter,GCsize
0,0.0,Tim,2,1.0
1,1.0,Tim,4,1.0
2,2.0,Tim,7,0.996515679443
3,3.0,Tim,9,0.989442815249
4,4.0,Tim,11,0.985781990521
5,5.0,Tim,13,0.980251346499
6,6.0,Tim,16,0.968561064087
7,7.0,Tim,17,0.965791081246
8,8.0,Tim,20,0.963580246914
9,9.0,Tim,29,0.950093574548
10,10.0,Tim,33,0.932534678436
11,11.0,Tim,34,0.928616953474
12,12.0,Tim,39,0.921391752577
13,13.0,Tim,46,0.914006514658
14,14.0,Tim,47,0.909090909091
15,15.0,Tim,48,0.886075949367
16,16.0,Tim,49,0.870619946092
17,17.0,Tim,51,0.858895705521
18,18.0,Tim,52,0.843448275862
19,19.0,Tim,54,0.723656664341
20,20.0,Tim,49,0.620056497175
21,21.0,Tim,38,0.409578270193
22,22.0,Tim,41,0.374095513748
23,23.0,Tim,32,0.282783882784
24,24.0,Tim,35,0.271513353116
25,25.0,Tim,35,0.244177310293
26,26.0,Tim,35,0.243531202435
27,27.0,Tim,37,0.233616037008
28,28.0,Tim,33,0.1609375
29,29.0,Tim,17,0.0791765637371
30,30.0,Tim,15,0.0674157303371
31,31.0,Tim,11,0.0471928397071
32,32.0,Tim,11,0.039603960396
33,33.0,Tim,11,0.0334728033473
34,34.0,Tim,12,0.025466893039
35,35.0,Tim,12,0.0249784668389
36,36.0,Tim,8,0.0166083916084
37,37.0,Tim,9,0.0159716060337
38,38.0,Tim,9,0.0162162162162
39,39.0,Tim,9,0.0164684354986
40,40.0,Tim,12,0.0148698884758
41,41.0,Tim,7,0.0113314447592
42,42.0,Tim,7,0.0115163147793
43,43.0,Tim,9,0.0107317073171
44,44.0,Tim,9,0.0109126984127
45,45.0,Tim,9,0.0110998990918
46,46.0,Tim,9,0.0112936344969
47,47.0,Tim,3,0.00626959247649
48,48.0,Tim,4,0.00531914893617
49,49.0,Tim,4,0.00541711809317
50,50.0,Tim,3,0.00441501103753
51,51.0,Tim,3,0.0044994375703
52,52.0,Tim,3,0.0045871559633
53,53.0,Tim,2,0.00350877192982
54,54.0,Tim,1,0.00238663484487
55,55.0,Tim,1,0.00243605359318
56,56.0,Tim,1,0.00248756218905
57,57.0,Tim,1,0.00254129606099
58,58.0,Tim,1,0.0025974025974
59,59.0,Tim,1,0.00265604249668
60,60.0,Tim,1,0.00271739130435
61,61.0,Tim,1,0.00278164116829
62,62.0,Tim,1,0.002849002849
63,63.0,Tim,1,0.0029197080292
64,64.0,Tim,1,0.00299401197605
65,65.0,Tim,1,0.00307219662058
66,66.0,Tim,1,0.00315457413249
67,67.0,Tim,1,0.0032414910859
68,68.0,Tim,0,0.00166666666667
69,69.0,Tim,0,0.00171526586621
70,70.0,Tim,0,0.0017667844523
71,71.0,Tim,0,0.00182149362477
72,72.0,Tim,0,0.00187969924812
73,73.0,Tim,0,0.00194174757282
74,74.0,Tim,0,0.00200803212851
75,75.0,Tim,0,0.002079002079
76,76.0,Tim,0,0.00215517241379
77,77.0,Tim,0,0.00223713646532
78,78.0,Tim,0,0.00232558139535
79,79.0,Tim,0,0.00242130750605
80,80.0,Tim,0,0.00252525252525
81,81.0,Tim,0,0.00263852242744
82,82.0,Tim,0,0.00276243093923
83,83.0,Tim,0,0.00289855072464
84,84.0,Tim,0,0.0030487804878
85,85.0,Tim,0,0.0032154340836
86,86.0,Tim,0,0.00340136054422
87,87.0,Tim,0,0.00361010830325
88,88.0,Tim,0,0.00384615384615
89,89.0,Tim,0,0.00411522633745
90,90.0,Tim,0,0.00442477876106
91,91.0,Tim,0,0.00478468899522
92,92.0,Tim,0,0.00520833333333
93,93.0,Tim,0,0.00571428571429
94,94.0,Tim,0,0.00632911392405
95,95.0,Tim,0,0.00709219858156
96,96.0,Tim,0,0.00806451612903
97,97.0,Tim,0,0.00934579439252
98,98.0,Tim,0,0.0111111111111
99,99.0,Tim,0,0.013698630137
100,100.0,Tim,0,0.0178571428571
101,101.0,Tim,0,0.025641025641
102,102.0,Tim,0,0.0454545454545
103,103.0,Tim,0,0.2
104,0.0,Vodafone,2,1.0
105,1.0,Vodafone,7,0.998289623717
106,2.0,Vodafone,10,0.983304548071
107,3.0,Vodafone,12,0.975581395349
108,4.0,Vodafone,12,0.968291250734
109,5.0,Vodafone,15,0.956702253855
110,6.0,Vodafone,16,0.953864589575
111,7.0,Vodafone,17,0.950968523002
112,8.0,Vodafone,19,0.94495412844
113,9.0,Vodafone,21,0.940049443758
114,10.0,Vodafone,23,0.92567145534
115,11.0,Vodafone,25,0.897727272727
116,12.0,Vodafone,27,0.888959795788
117,13.0,Vodafone,29,0.887741935484
118,14.0,Vodafone,33,0.885192433138
119,15.0,Vodafone,34,0.868733509235
120,16.0,Vodafone,36,0.865243495664
121,17.0,Vodafone,39,0.848178137652
122,18.0,Vodafone,50,0.834129692833
123,19.0,Vodafone,51,0.825966850829
124,20.0,Vodafone,59,0.801537386443
125,21.0,Vodafone,60,0.735502121641
126,22.0,Vodafone,47,0.618468146027
127,23.0,Vodafone,60,0.410144927536
128,24.0,Vodafone,66,0.402054292003
129,25.0,Vodafone,66,0.394502228826
130,26.0,Vodafone,67,0.3769751693
131,27.0,Vodafone,52,0.270579268293
132,28.0,Vodafone,41,0.139768339768
133,29.0,Vodafone,29,0.0931142410016
134,30.0,Vodafone,32,0.0911974623315
135,31.0,Vodafone,32,0.0916398713826
136,32.0,Vodafone,19,0.0578647106764
137,33.0,Vodafone,19,0.0586776859504
138,34.0,Vodafone,15,0.0360435875943
139,35.0,Vodafone,13,0.0323129251701
140,36.0,Vodafone,13,0.0319240724763
141,37.0,Vodafone,13,0.0271453590193
142,38.0,Vodafone,9,0.0213333333333
143,39.0,Vodafone,8,0.0180505415162
144,40.0,Vodafone,8,0.0183318056829
145,41.0,Vodafone,8,0.0186219739292
146,42.0,Vodafone,8,0.0141911069063
147,43.0,Vodafone,7,0.0105769230769
148,44.0,Vodafone,7,0.010752688172
149,45.0,Vodafone,7,0.0109343936382
150,46.0,Vodafone,6,0.00910010111223
151,47.0,Vodafone,6,0.00925925925926
152,48.0,Vodafone,5,0.00628272251309
153,49.0,Vodafone,5,0.00639658848614
154,50.0,Vodafone,4,0.00542888165038
155,51.0,Vodafone,4,0.00553097345133
156,52.0,Vodafone,4,0.00563697857948
157,53.0,Vodafone,4,0.00574712643678
158,54.0,Vodafone,3,0.00468933177022
159,55.0,Vodafone,2,0.00358851674641
160,56.0,Vodafone,1,0.002442002442
161,57.0,Vodafone,1,0.00249376558603
162,58.0,Vodafone,1,0.00254777070064
163,59.0,Vodafone,1,0.00260416666667
164,60.0,Vodafone,1,0.00266311584554
165,61.0,Vodafone,1,0.00272479564033
166,62.0,Vodafone,1,0.00278940027894
167,63.0,Vodafone,1,0.00285714285714
168,64.0,Vodafone,1,0.00292825768668
169,65.0,Vodafone,1,0.003003003003
170,66.0,Vodafone,1,0.00308166409861
171,67.0,Vodafone,1,0.00316455696203
172,68.0,Vodafone,1,0.00325203252033
173,69.0,Vodafone,0,0.00167224080268
174,70.0,Vodafone,0,0.00172117039587
175,71.0,Vodafone,0,0.00177304964539
176,72.0,Vodafone,0,0.0018281535649
177,73.0,Vodafone,0,0.00188679245283
178,74.0,Vodafone,0,0.00194931773879
179,75.0,Vodafone,0,0.00201612903226
180,76.0,Vodafone,0,0.00208768267223
181,77.0,Vodafone,0,0.0021645021645
182,78.0,Vodafone,0,0.00224719101124
183,79.0,Vodafone,0,0.00233644859813
184,80.0,Vodafone,0,0.00243309002433
185,81.0,Vodafone,0,0.00253807106599
186,82.0,Vodafone,0,0.0026525198939
187,83.0,Vodafone,0,0.00277777777778
188,84.0,Vodafone,0,0.00291545189504
189,85.0,Vodafone,0,0.00306748466258
190,86.0,Vodafone,0,0.00323624595469
191,87.0,Vodafone,0,0.00342465753425
192,88.0,Vodafone,0,0.00363636363636
193,89.0,Vodafone,0,0.00387596899225
194,90.0,Vodafone,0,0.00414937759336
195,91.0,Vodafone,0,0.00446428571429
196,92.0,Vodafone,0,0.0048309178744
197,93.0,Vodafone,0,0.00526315789474
198,94.0,Vodafone,0,0.00578034682081
199,95.0,Vodafone,0,0.00641025641026
200,96.0,Vodafone,0,0.00719424460432
201,97.0,Vodafone,0,0.00819672131148
202,98.0,Vodafone,0,0.00952380952381
203,99.0,Vodafone,0,0.0113636363636
204,100.0,Vodafone,0,0.0140845070423
205,101.0,Vodafone,0,0.0185185185185
206,102.0,Vodafone,0,0.027027027027
207,103.0,Vodafone,0,0.05
208,104.0,Vodafone,0,0.333333333333
209,0.0,Wind,2,1.0
210,1.0,Wind,4,1.0
211,2.0,Wind,5,1.0
212,3.0,Wind,6,1.0
213,4.0,Wind,7,0.998240211175
214,5.0,Wind,7,0.996888888889
215,6.0,Wind,11,0.991019308487
216,7.0,Wind,11,0.990925589837
217,8.0,Wind,12,0.98532783127
218,9.0,Wind,13,0.980537534754
219,10.0,Wind,16,0.972833723653
