,percent,Compagnia,GC
0,0,Tim,1.0
1,1,Tim,1.0
2,2,Tim,1.0
3,3,Tim,1.0
4,4,Tim,1.0
5,5,Tim,1.0
6,6,Tim,1.0
7,7,Tim,1.0
8,8,Tim,1.0
9,9,Tim,1.0
10,10,Tim,1.0
11,11,Tim,1.0
12,12,Tim,1.0
13,13,Tim,1.0
14,14,Tim,1.0
15,15,Tim,1.0
16,16,Tim,1.0
17,17,Tim,1.0
18,18,Tim,1.0
19,19,Tim,1.0
20,20,Tim,1.0
21,21,Tim,1.0
22,22,Tim,1.0
23,23,Tim,1.0
24,24,Tim,1.0
25,25,Tim,1.0
26,26,Tim,1.0
27,27,Tim,1.0
28,28,Tim,1.0
29,29,Tim,1.0
30,30,Tim,1.0
31,31,Tim,1.0
32,32,Tim,1.0
33,33,Tim,1.0
34,34,Tim,1.0
35,35,Tim,1.0
36,36,Tim,1.0
37,37,Tim,1.0
38,38,Tim,1.0
39,39,Tim,1.0
40,40,Tim,1.0
41,41,Tim,1.0
42,42,Tim,1.0
43,43,Tim,1.0
44,44,Tim,1.0
45,45,Tim,1.0
46,46,Tim,1.0
47,47,Tim,1.0
48,48,Tim,1.0
49,49,Tim,1.0
50,50,Tim,1.0
51,51,Tim,1.0
52,52,Tim,1.0
53,53,Tim,1.0
54,54,Tim,1.0
55,55,Tim,1.0
56,56,Tim,1.0
57,57,Tim,1.0
58,58,Tim,1.0
59,59,Tim,1.0
60,60,Tim,1.0
61,61,Tim,1.0
62,62,Tim,1.0
63,63,Tim,1.0
64,64,Tim,1.0
65,65,Tim,1.0
66,66,Tim,1.0
67,67,Tim,1.0
68,68,Tim,1.0
69,69,Tim,1.0
70,70,Tim,1.0
71,71,Tim,1.0
72,72,Tim,1.0
73,73,Tim,1.0
74,74,Tim,1.0
75,75,Tim,1.0
76,76,Tim,1.0
77,77,Tim,1.0
78,78,Tim,1.0
79,79,Tim,1.0
80,80,Tim,1.0
81,81,Tim,1.0
82,82,Tim,1.0
83,83,Tim,1.0
84,84,Tim,1.0
85,85,Tim,1.0
86,86,Tim,1.0
87,87,Tim,1.0
88,88,Tim,1.0
89,89,Tim,1.0
90,90,Tim,1.0
91,91,Tim,1.0
92,92,Tim,1.0
93,93,Tim,1.0
94,94,Tim,1.0
95,95,Tim,1.0
96,96,Tim,1.0
97,97,Tim,1.0
