,percent,Provider,diameter,average path length,clustering,average degree,soglia percolativa,GCsize
0,0,Tim,2,1.9633666257812044,0.8948023060778048,64.29157175398633,358.73841411564626,1.0
1,1,Tim,2,1.963895364649472,0.8951173012519534,62.74985623921794,354.3088469786111,1.0
2,2,Tim,2,1.9636437503247781,0.8952665494405037,62.56910569105691,352.3983145233145,1.0
3,3,Tim,2,1.963417454875883,0.8955000429902626,62.3366568914956,349.7228557449851,1.0
4,4,Tim,2,1.9631486387400725,0.8955816452425033,62.16824644549763,347.41690489803693,1.0
5,5,Tim,2,1.9628434334204123,0.8955723737576363,62.05146618791143,345.1194159401281,1.0
6,6,Tim,2,1.9633102687503063,0.8952746498571005,60.64812575574365,339.73803732355054,1.0
7,7,Tim,2,1.9637172476935416,0.8947587591292153,59.35858277336591,336.09708757847073,1.0
8,8,Tim,2,1.964008418548258,0.8947072067096006,58.27037037037037,333.39865251382446,1.0
9,9,Tim,2,1.9640725138492667,0.8954609066218002,57.55583281347474,332.3777719971386,1.0
10,10,Tim,2,1.9639574987767572,0.8960112491837515,57.12736443883985,331.10688269833565,1.0
11,11,Tim,2,1.9642718942261417,0.8967243494881972,56.02166985340982,329.77139411590707,1.0
12,12,Tim,2,1.96419170870805,0.8969613708948702,55.53865979381443,327.72548610144327,1.0
13,13,Tim,2,1.9639400515566805,0.8973081160049522,55.31596091205212,325.4510658344129,1.0
14,14,Tim,2,1.9636877791702818,0.8973844762144474,55.08563899868248,322.9442477876106,1.0
15,15,Tim,2,1.96333466577837,0.8973179286490099,54.998001332445035,319.9899699583293,1.0
16,16,Tim,2,1.9630502387344078,0.8976656285088568,54.796495956873315,317.84938144076347,1.0
17,17,Tim,2,1.9627549611228752,0.8976168729139273,54.60122699386503,315.95795255930085,1.0
18,18,Tim,2,1.9624349729896957,0.8976175198363041,54.431724137931035,313.22557838988416,1.0
19,19,Tim,2,1.963671556721649,0.8959414939729126,52.02233077459874,294.70531737940655,1.0
20,20,Tim,2,1.9639665808229023,0.8956202620116266,50.98728813559322,290.5684645004017,1.0
21,21,Tim,2,1.9634819884630448,0.8954855333035395,51.05218012866333,288.2486908795609,1.0
22,22,Tim,2,1.9633437461685412,0.8955544009788495,50.62228654124457,285.4042595769011,1.0
23,23,Tim,2,1.963445156993544,0.8965209986423017,49.86080586080586,284.44689979429916,1.0
24,24,Tim,2,1.9633397879450762,0.8968768118583083,49.381305637982194,283.0205810774269,1.0
25,25,Tim,2,1.9629923795213051,0.896487331683227,49.22013523666416,280.5750702161436,1.0
26,26,Tim,2,1.963223403478388,0.8968213645380346,48.28767123287671,277.7141686367218,1.0
