radio,net,cell,lon,lat,range,samples,distance,grado
GSM,10,29369,12.630353,41.892274,10568,2,10253.255627,2544
GSM,10,28691,12.62004,41.890106,9674,2,9484.47149379,2491
GSM,88,19451,12.531354,41.986043,2172,4,11050.7790635,180
GSM,88,16608,12.60592,41.918988,4129,7,9026.35751269,661
GSM,88,55647,12.604219,41.928254,9245,23,9329.49301007,2110
GSM,88,55650,12.610001,41.912301,3419,4,9080.69937592,512
GSM,88,55652,12.606106,41.918583,4001,4,9023.3712141,644
GSM,88,18839,12.59043,41.843897,1901,2,8917.5486447,479
GSM,88,17613,12.604799,41.849328,6280,6,9505.22729946,1381
GSM,88,17611,12.588514,41.905357,8700,3,7341.11699241,3103
GSM,88,8973,12.608533,41.85333,5738,5,9550.62815075,1284
GSM,88,29919,12.579861,41.838201,5860,4,8696.55443944,1294
GSM,88,16796,12.562233,41.812977,3110,15,10031.5973539,421
GSM,88,64246,12.56245,41.815608,2889,2,9790.91550534,413
GSM,88,29921,12.598685,41.849912,6823,5,9076.94358193,1564
GSM,88,29749,12.598459,41.930992,5586,18,9098.56982884,930
GSM,88,55651,12.599017,41.929897,5710,20,9074.52704642,965
GSM,88,29750,12.597703,41.931058,5541,20,9053.62747353,928
GSM,88,16607,12.586768,41.945815,3711,4,9356.50114661,494
GSM,88,17459,12.553204,41.982122,5315,7,11183.4128463,487
GSM,88,17454,12.559185,41.977878,5365,3,10947.8398732,540
GSM,88,8819,12.565107,41.974031,5834,6,10782.2264588,648
GSM,88,18842,12.585937,41.831462,1054,2,9534.96012822,279
GSM,88,17615,12.585777,41.831213,1024,2,9545.30408206,273
GSM,88,9116,12.623181,41.880376,11351,3,9777.72856916,3147
GSM,88,17618,12.603786,41.870979,3705,3,8546.73273854,829
GSM,88,30011,12.600117,41.869333,5838,4,8332.15666823,1509
GSM,88,17617,12.607424,41.885966,5340,3,8559.98074075,1240
GSM,88,8977,12.615545,41.909203,695,2,9393.90786319,176
GSM,88,19111,12.573156,41.96236,5712,2,10027.3503125,754
GSM,10,30032,12.586933,41.946829,4479,7,9440.65825849,615
GSM,10,28988,12.590219,41.942038,5038,6,9283.39857984,753
GSM,10,28993,12.609723,41.91265,5075,4,9071.47320002,865
GSM,10,30033,12.548766,41.967403,7522,10,9559.33334273,1121
GSM,10,30031,12.557207,41.959724,7603,6,9115.34959523,1350
GSM,10,56461,12.58509,41.937711,2992,6,8686.64292314,467
GSM,10,28323,12.606999,41.875426,1331,2,8671.29371115,247
GSM,10,28757,12.602356,41.852514,1164,3,9179.52624357,290
GSM,10,23293,12.628411,41.835802,4406,3,11772.7806351,622
GSM,10,51921,12.611962,41.898831,4354,3,8937.33302415,766
GSM,10,23642,12.611962,41.898831,4354,3,8937.33302415,766
GSM,10,23643,12.608982,41.908833,4793,6,8909.9141715,844
GSM,10,23967,12.59448,41.837358,4778,13,9591.68605035,974
GSM,10,28753,12.600597,41.853299,1565,5,9023.55903977,360
GSM,10,28758,12.602325,41.86057,4392,7,8805.2849186,1066
GSM,10,30071,12.597916,41.845044,1611,4,9307.48819204,409
GSM,10,30072,12.608984,41.841985,5543,5,10183.8602546,1113
GSM,10,46293,12.595279,41.836621,4841,19,9688.77309548,967
GSM,10,23213,12.594273,41.833432,1692,17,9853.14070785,375
GSM,10,24183,12.586299,41.828538,5837,19,9779.57688753,1098
GSM,10,24193,12.589954,41.830825,6233,12,9801.89500597,1210
GSM,10,46292,12.598624,41.845512,3815,4,9323.98469137,839
GSM,10,46292,12.594899,41.834423,211,13,9818.94593537,161
GSM,10,30227,12.592978,41.843354,4176,4,9107.03076601,953
GSM,10,24187,12.598318,41.821227,1647,6,10985.4955393,267
GSM,10,23802,12.604648,41.901882,5747,5,8443.36348519,1241
GSM,10,28751,12.599882,41.872677,6386,5,8219.7354352,1718
GSM,10,28982,12.599867,41.937846,7164,22,9589.39738353,1252
GSM,10,28311,12.619924,41.920391,4363,5,10056.9011882,546
GSM,10,30102,12.646548,41.863672,900,3,11823.4848983,107
GSM,10,28853,12.624826,41.865008,1415,3,10227.9478641,246
GSM,10,30103,12.630946,41.863548,1905,3,10709.3466358,276
GSM,10,28852,12.630946,41.863548,1905,3,10709.3466358,276
GSM,10,28321,12.607769,41.876865,1503,2,8698.90291504,264
GSM,10,23703,12.597551,41.896031,6268,3,7841.86119655,1612
GSM,10,29951,12.593765,41.908108,4895,2,7794.05044312,1057
GSM,10,64141,12.537276,41.978243,913,4,10349.7004838,113
GSM,10,28382,12.546836,41.972419,5116,6,10004.794288,606
GSM,10,64142,12.538681,41.972062,5900,5,9737.93237539,744
GSM,10,28752,12.597388,41.854553,1128,2,8748.05860882,311
GSM,10,28759,12.595675,41.848747,541,3,8949.20617998,230
GSM,10,51259,12.577858,41.818874,213,2,10157.7070671,159
GSM,10,30491,12.565143,41.813043,4197,9,10138.7425478,589
GSM,10,28732,12.494437,41.797071,3994,5,10356.5646213,526
GSM,10,26462,12.484231,41.792807,1036,5,10846.3171858,157
GSM,10,30022,12.56526,41.809859,1249,2,10444.5167181,196
GSM,10,30222,12.573649,41.818222,2396,4,10023.2798818,372
GSM,10,30028,12.572935,41.821599,2645,2,9693.34342844,437
GSM,10,23282,12.436595,41.795419,6230,6,11321.463655,898
GSM,10,1561,12.539252,41.82116,8399,5,8429.01655725,2451
GSM,10,30382,12.524147,41.81011,7928,5,9212.78023598,1940
GSM,10,28351,12.463972,41.791905,1869,2,11130.6655667,242
GSM,10,28733,12.498413,41.790826,4444,3,11059.203464,494
GSM,10,28358,12.476711,41.798737,3169,7,10235.9113205,488
GSM,10,30492,12.579438,41.822448,2278,3,9926.5962206,409
GSM,88,26326,12.531509,41.993644,3383,6,11871.5116344,208
GSM,88,9436,12.56422,41.963813,3010,4,9779.19133614,337
GSM,88,19112,12.609439,41.921827,1838,3,9385.2653715,286
GSM,88,17458,12.605115,41.921066,1552,2,9055.78593219,264
GSM,88,8823,12.593615,41.938491,650,2,9247.47721521,148
GSM,88,29748,12.601856,41.927678,2433,18,9143.97352377,368
GSM,88,16610,12.594642,41.931268,626,3,8869.74122924,162
GSM,88,55648,12.598454,41.932559,4478,8,9186.56642708,681
GSM,88,16609,12.601236,41.928583,580,13,9149.63715426,155
GSM,88,29778,12.600932,41.930287,232,2,9219.999301,128
GSM,88,17574,12.600916,41.928267,10,5,9112.20251997,118
GSM,88,29747,12.600821,41.932236,4625,5,9319.83140871,694
GSM,88,29746,12.599868,41.933898,4431,3,9353.54422301,663
