net,cell,lon,lat,range,samples,distanze
1,7304,12.59836,41.937811,1605,2,10265.173515
1,40846,12.604956,41.928689,784,2,10277.0239796
1,98962158,12.569794,41.848905,60,3,7897.29439829
1,98961404,12.560426,41.857252,1124,33,6732.40799398
1,98971783,12.57081,41.849246,1378,10,7944.38467945
1,98962185,12.524372,41.830816,16,9,7109.36087741
1,98983240,12.524414,41.830827,9,3,7109.53374924
1,98960940,12.474084,41.859589,244,4,3719.40480098
1,98965906,12.471995,41.85821,5,2,3931.09741325
1,40865,12.482618,41.906051,78,15,1939.04757899
1,98904080,12.483084,41.906242,42,8,1942.76610821
1,98374131,12.615553,41.910582,267,4,10473.2089103
1,98372394,12.615514,41.907139,71,2,10394.2299058
1,98962535,12.495915,41.852452,755,24,4200.25262617
1,98961402,12.496577,41.851866,967,37,4269.36480678
1,26008,12.600985,41.860067,14232,7,9619.54578295
1,4535,12.502848,41.961723,13200,2,7994.92550666
1,39081,12.543548,41.972668,211,2,10099.663401
1,5802,12.548141,41.972635,188,2,10262.4358755
1,40315,12.556399,41.963924,1809,3,9764.39423505
1,13644,12.508832,41.985281,3544,7,10652.1095065
1,40929,12.479707,41.979092,5519,3,9931.75133717
1,2172,12.536027,41.979907,1111,2,10605.3130228
1,98960975,12.494754,41.851804,873,24,4266.41930824
1,98959761,12.4965,41.865668,612,68,2743.70482283
1,98959762,12.494313,41.858379,785,69,3535.21723198
1,11686,12.562479,41.948069,34,5,8672.68313662
1,38985,12.555576,41.946219,450,5,8141.19140823
1,98373366,12.508134,41.893883,401,257,1374.71504597
1,98369761,12.510258,41.893537,202,98,1533.97918958
1,98373365,12.509667,41.893372,80,107,1481.95808447
1,98376344,12.508577,41.892205,374,128,1367.04387267
1,98371297,12.508606,41.891828,308,46,1363.14610952
1,98371298,12.507552,41.888663,203,44,1274.33741014
1,98370988,12.51098,41.885304,290,60,1639.55618835
1,98370097,12.511561,41.884245,162,25,1726.51176195
1,98370990,12.511657,41.884284,1,2,1732.23919051
1,98370096,12.514546,41.882024,279,101,2053.98826018
1,98371028,12.518609,41.87809,310,97,2560.9258773
1,98371026,12.523527,41.87421,407,130,3138.22889876
1,98369965,12.526595,41.871913,157,40,3493.16542949
1,98369964,12.530865,41.870415,732,93,3879.00929574
1,98764253,12.536396,41.87008,452,43,4284.76348361
1,98764800,12.535458,41.870738,85,8,4180.27372318
1,98764251,12.542667,41.865691,334,58,4985.25350953
1,98765634,12.543304,41.864609,218,9,5095.66031616
1,38449,12.488456,41.800916,52,32,9919.02257064
1,38452,12.490065,41.801179,154,73,9886.38053657
1,40219,12.55503,41.947708,33,7,8239.63551125
1,98764788,12.599922,41.85206,166,21,9884.34295818
1,98765394,12.596262,41.853846,18,6,9524.83420082
1,98765605,12.5967,41.852654,815,33,9614.49747229
1,98765613,12.591104,41.841022,37,6,9851.56462528
1,98765615,12.587897,41.836402,723,48,9931.15361454
1,98764192,12.578143,41.846856,747,8,8596.65305422
1,98764547,12.567623,41.853923,160,17,7435.03356366
1,98765426,12.560934,41.857655,738,105,6743.7620831
1,98764440,12.559525,41.858493,777,15,6595.12370515
1,98765427,12.553403,41.861768,165,28,5971.21689237
1,98764439,12.548991,41.863615,127,10,5551.85082237
1,98765425,12.549154,41.863468,378,33,5571.99723232
1,98373418,12.534625,41.864374,832,7,4531.77847312
1,98373419,12.527294,41.87143,11,3,3571.57550862
1,98371524,12.514699,41.881391,294,69,2097.16674163
1,98370083,12.515422,41.885919,414,52,1973.84367574
1,98370095,12.515288,41.885663,120,21,1970.0883574
1,98372216,12.514764,41.88736,51,2,1887.85880939
1,98370077,12.51496,41.891252,202,39,1881.85449393
1,98375924,12.515794,41.89163,57,5,1953.95743411
1,98372852,12.506094,41.893855,374,53,1213.20832726
1,98385232,12.506825,41.893771,396,71,1267.51665786
1,98369762,12.507828,41.894145,430,275,1359.66840493
1,98369759,12.509756,41.897815,518,30,1676.77818784
1,98369823,12.509195,41.89861,41,8,1684.27440492
1,98370961,12.506876,41.903425,148,33,1903.52577064
1,98370825,12.50594,41.905277,286,21,2022.31915268
1,98370824,12.504403,41.908067,90,19,2225.69209697
1,98369961,12.503841,41.908223,37,4,2220.72495761
1,98370852,12.503047,41.908354,33,9,2206.50242449
1,98374452,12.496319,41.912022,250,3,2449.25654606
1,98374440,12.493874,41.911023,135,9,2319.3744786
1,98371140,12.491017,41.910318,199,40,2240.18738489
1,98371144,12.486464,41.909874,463,37,2241.72034787
1,98371339,12.487637,41.911031,631,38,2349.24152611
1,98373549,12.493996,41.913768,307,71,2624.36836059
1,98373547,12.496775,41.917894,383,54,3101.01242498
1,98834848,12.497042,41.920006,142,10,3336.57034674
1,98835246,12.495765,41.919099,35,7,3225.46227519
1,98828791,12.494426,41.918146,199,23,3111.85996285
1,98835245,12.495509,41.919254,127,16,3240.81396829
1,98828790,12.495187,41.920407,74,24,3366.48485324
1,98829669,12.49716,41.919638,171,29,3297.15652821
1,98829611,12.494724,41.917172,106,36,3005.38354643
1,98828792,12.491384,41.921145,120,28,3441.0022659
1,98832121,12.491011,41.922898,137,22,3636.46350159
1,98828523,12.491347,41.922567,61,7,3598.97525646
1,98828867,12.489721,41.924615,194,42,3831.64850057
1,98828868,12.486298,41.926316,90,20,4045.54369504
1,98828866,12.486081,41.927064,61,3,4130.22131535
1,98834845,12.48556,41.929294,182,37,4381.39349463
