radio,net,cell,lon,lat,range,samples,distance
GSM,1,52434,12.55762,41.806816,2426,2,10461
GSM,1,6731,12.646301,41.918679,6454,4,11869
GSM,1,7304,12.59836,41.937811,1605,2,9494
GSM,1,40846,12.604956,41.928689,784,2,9400
UMTS,1,98962158,12.569794,41.848905,60,3,7357
UMTS,1,98961404,12.560426,41.857252,1124,33,6242
UMTS,1,98971783,12.57081,41.849246,1378,10,7393
UMTS,1,98962185,12.524372,41.830816,16,9,7017
UMTS,1,98983240,12.524414,41.830827,9,3,7017
UMTS,1,98960940,12.474084,41.859589,244,4,3661
UMTS,1,98965906,12.471995,41.85821,5,2,3862
GSM,1,40865,12.482618,41.906051,78,15,1907
UMTS,1,98904080,12.483084,41.906242,42,8,1914
UMTS,1,98374131,12.615553,41.910582,267,4,9430
UMTS,1,98372394,12.615514,41.907139,71,2,9342
UMTS,1,98962535,12.495915,41.852452,755,24,4203
UMTS,1,98961402,12.496577,41.851866,967,37,4272
GSM,1,26008,12.600985,41.860067,14232,7,8734
GSM,1,8610,12.603493,41.953854,5219,2,10881
GSM,1,4535,12.502848,41.961723,13200,2,7996
GSM,1,39081,12.543548,41.972668,211,2,9933
GSM,1,5801,12.536834,41.988586,1870,2,11435
GSM,1,44185,12.533567,41.989665,2099,3,11482
GSM,1,5802,12.548141,41.972635,188,2,10066
GSM,1,40315,12.556399,41.963924,1809,3,9484
GSM,1,13644,12.508832,41.985281,3544,7,10649
GSM,1,40929,12.479707,41.979092,5519,3,9934
GSM,1,2172,12.536027,41.979907,1111,2,10495
UMTS,1,98960975,12.494754,41.851804,873,24,4271
UMTS,1,98959761,12.4965,41.865668,612,68,2743
UMTS,1,98959762,12.494313,41.858379,785,69,3539
GSM,1,11686,12.562479,41.948069,34,5,8284
GSM,1,38985,12.555576,41.946219,450,5,7806
UMTS,1,98373366,12.508134,41.893883,401,257,1244
UMTS,1,98369761,12.510258,41.893537,202,98,1382
UMTS,1,98373365,12.509667,41.893372,80,107,1335
UMTS,1,98376344,12.508577,41.892205,374,128,1227
UMTS,1,98371297,12.508606,41.891828,308,46,1222
UMTS,1,98371298,12.507552,41.888663,203,44,1142
UMTS,1,98370988,12.51098,41.885304,290,60,1487
UMTS,1,98370097,12.511561,41.884245,162,25,1572
UMTS,1,98370990,12.511657,41.884284,1,2,1577
UMTS,1,98370096,12.514546,41.882024,279,101,1882
UMTS,1,98371028,12.518609,41.87809,310,97,2369
UMTS,1,98371026,12.523527,41.87421,407,130,2918
UMTS,1,98369965,12.526595,41.871913,157,40,3255
UMTS,1,98369964,12.530865,41.870415,732,93,3607
UMTS,1,98764253,12.536396,41.87008,452,43,3962
UMTS,1,98764800,12.535458,41.870738,85,8,3863
UMTS,1,98764251,12.542667,41.865691,334,58,4624
UMTS,1,98765634,12.543304,41.864609,218,9,4733
GSM,1,38449,12.488456,41.800916,52,32,9931
GSM,1,38452,12.490065,41.801179,154,73,9899
GSM,1,40219,12.55503,41.947708,33,7,7915
UMTS,1,98764788,12.599922,41.85206,166,21,9042
UMTS,1,98765394,12.596262,41.853846,18,6,8709
UMTS,1,98765605,12.5967,41.852654,815,33,8800
UMTS,1,98764191,12.608495,41.838221,4128,40,10379
UMTS,1,98765613,12.591104,41.841022,37,6,9145
