,net,cell,lon,lat,range,samples,distanze
0,10,28691,12.62004,41.890106,9674,2,10598.96954427886
1,10,30032,12.586933,41.946829,4479,7,10059.269423406748
2,10,28988,12.590219,41.942038000000004,5038,6,9956.52603799691
3,10,28993,12.609722999999999,41.91265,5075,4,10055.850095514761
4,10,30033,12.548766,41.967403000000004,7522,10,9772.115749495943
5,10,30031,12.557207,41.959724,7603,6,9414.713080002908
6,10,56461,12.58509,41.937711,2992,6,9332.759185673262
7,10,28323,12.606999,41.875426000000004,1331,2,9657.6582517314
8,10,28757,12.602356,41.852514,1164,3,10046.181522509325
9,10,51921,12.611962,41.898831,4354,3,9974.339308095965
10,10,23642,12.611962,41.898831,4354,3,9974.339308095965
11,10,23643,12.608982000000001,41.908833,4793,6,9899.21492077211
12,10,23967,12.59448,41.837358,4778,13,10312.232278599146
13,10,28753,12.600597,41.853299,1565,5,9877.077957070574
14,10,28758,12.602325,41.86057,4392,7,9704.818292522003
15,10,30071,12.597916,41.845044,1611,4,10097.839230702708
16,10,46293,12.595279,41.836621,4841,19,10413.439892318964
17,10,23213,12.594273,41.833432,1692,17,10552.794634253334
18,10,24183,12.586299,41.828538,5837,19,10379.95596171173
19,10,24193,12.589953999999999,41.830825,6233,12,10447.760954165267
20,10,46292,12.598624000000001,41.845512,3815,4,10123.307391686703
21,10,46292,12.594899,41.834423,211,13,10529.371851603832
22,10,30227,12.592978,41.843354,4176,4,9842.046269903638
23,10,23802,12.604648,41.901882,5747,5,9410.976737028648
24,10,28751,12.599882000000001,41.872677,6386,5,9136.26818226763
25,10,28982,12.599867,41.937846,7164,22,10374.490490742439
26,10,28321,12.607769000000001,41.876865,1503,2,9694.892218066001
27,10,23703,12.597551,41.896031,6268,3,8756.339161513859
28,10,29951,12.593765,41.908108,4895,2,8649.658213733774
29,10,64141,12.537276,41.978243,913,4,10468.257095524537
30,10,28382,12.546836,41.972419,5116,6,10192.567777172042
31,10,64142,12.538681,41.972062,5900,5,9874.604741710868
32,10,28752,12.597388,41.854553,1128,2,9576.840520352494
33,10,28759,12.595675,41.848746999999996,541,3,9735.54420587138
34,10,51259,12.577858,41.818874,213,2,10637.369898147923
35,10,30491,12.565142999999999,41.813043,4197,9,10485.777752274424
36,10,28732,12.494437,41.797071,3994,5,10342.341380898639
37,10,30222,12.573649000000001,41.818222,2396,4,10462.502183161634
38,10,30028,12.572935000000001,41.821599,2645,2,10139.52793956699
39,10,1561,12.539252000000001,41.82116,8399,5,8598.686095759038
40,10,30382,12.524147,41.810109999999995,7928,5,9276.842344535798
41,10,28358,12.476711,41.798737,3169,7,10238.340522279375
42,10,30492,12.579438,41.822448,2278,3,10435.605453546548
43,10,28981,12.597507,41.937767,3026,6,10202.066819276257
44,10,24062,12.529034,41.817426,7829,3,8635.756441432006
45,10,26461,12.471735,41.799040999999995,1572,4,10265.571226201662
46,10,24061,12.523507,41.826879,6951,2,7491.561210378718
47,10,24321,12.595581,41.938525,2867,3,10110.17328883753
48,10,54562,12.555112,41.967969000000004,4275,10,10088.667102357509
49,10,54561,12.548522,41.974996000000004,5206,12,10511.088400058577
50,10,54563,12.548572,41.966923,5284,7,9717.62276268024
51,10,28388,12.538110000000001,41.976426000000004,5956,7,10305.219697079063
52,10,23703,12.612519,41.871978000000006,2600,2,10178.824321012868
53,10,28377,12.467633,41.975773,5085,2,9725.9162932796
54,10,23831,12.459261999999999,41.982027,282,2,10564.59514993399
55,10,28983,12.5688,41.958757,8101,9,9912.807945930386
56,10,28999,12.608383,41.926059,963,3,10421.207819450101
57,10,28511,12.610713,41.927122999999995,756,2,10645.012991688609
58,10,24027,12.595906,41.850972999999996,350,2,9638.13218211431
59,10,24029,12.589855,41.838875,1153,3,9900.81130153859
60,10,46291,12.586941,41.834396000000005,591,2,10004.370826171353
61,10,30079,12.586941,41.834396000000005,591,2,10004.370826171353
62,10,10086029,12.548777000000001,41.952596,791,160,8366.411309715748
63,10,28391,12.58772,41.938596000000004,3327,4,9568.334839209829
64,10,30071,12.53103,41.919133,18071,3,4545.038065517793
65,10,54043,12.536039,41.976445,5252,3,10245.154923025277
66,10,10084454,12.477344,41.854752000000005,994,5,4126.278319142968
67,10,10084451,12.477716000000001,41.854385,1318,15,4156.043063955861
68,10,10084457,12.477263,41.856395,833,7,3954.7823164712536
69,10,10084169,12.408101,41.890088,2203,122,6990.517230236175
70,10,10363646,12.433976,41.899066,95,5,4942.433214038535
71,10,10411813,12.439343,41.901308,447,16,4567.873920671364
72,10,10412500,12.45936,41.907861,1362,101,3368.2925314834797
73,10,28812,12.471287,41.903484000000006,28,3,2288.1266691289493
74,10,10413499,12.470775999999999,41.907394000000004,555,73,2618.7797415216896
75,10,30061,12.468889,41.905133,103,10,2558.355294206081
76,10,10412280,12.471631,41.910971999999994,1019,152,2878.770049552975
77,10,10412462,12.477586,41.908439,338,68,2369.2281640679726
78,10,10412039,12.478744,41.905928,2,6,2081.701059172715
79,10,10412042,12.47978,41.906079,245,28,2050.850278515874
80,10,10412917,12.482222,41.906290000000006,31,5,1976.9403798860108
81,10,29811,12.481417,41.90549,306,3,1927.330683146191
82,10,10412911,12.482443,41.907109000000005,329,36,2052.2709971542477
83,10,10412914,12.483148,41.906108,22,5,1926.9955913224946
84,10,10414605,12.482616,41.905762,98,20,1909.9699318926118
85,10,28771,12.483789,41.903551,1485,3,1646.3309686998184
86,10,29637,12.48039,41.909816,35,5,2396.238653429651
87,10,10363625,12.476549,41.908586,1306,8,2428.526156989146
88,10,10414277,12.482643,41.91194,204,42,2547.838780304109
89,10,29711,12.482781,41.913288,29,5,2686.9279225979103
90,10,46712,12.481784,41.912137,259,4,2591.8034954555933
91,10,30441,12.482824,41.912909,72,10,2645.6679159964156
92,10,10411871,12.482391,41.912325,1,2,2595.021723656635
93,10,10411874,12.481394,41.911465,162,19,2533.088493679454
94,10,10412459,12.472832,41.910226,825,263,2752.988111126533
95,10,10362330,12.470328,41.91299,419,54,3123.4911513247853
96,10,10362413,12.475582000000001,41.909566999999996,240,44,2563.567755753808
