net,cell,lon,lat,range,samples,distanze
10,28691,12.62004,41.890106,9674,2,10598.9695443
10,30032,12.586933,41.946829,4479,7,10059.2694234
10,28988,12.590219,41.942038,5038,6,9956.526038
10,28993,12.609723,41.91265,5075,4,10055.8500955
10,30033,12.548766,41.967403,7522,10,9772.1157495
10,30031,12.557207,41.959724,7603,6,9414.71308
10,56461,12.58509,41.937711,2992,6,9332.75918567
10,28323,12.606999,41.875426,1331,2,9657.65825173
10,28757,12.602356,41.852514,1164,3,10046.1815225
10,51921,12.611962,41.898831,4354,3,9974.3393081
10,23642,12.611962,41.898831,4354,3,9974.3393081
10,23643,12.608982,41.908833,4793,6,9899.21492077
10,23967,12.59448,41.837358,4778,13,10312.2322786
10,28753,12.600597,41.853299,1565,5,9877.07795707
10,28758,12.602325,41.86057,4392,7,9704.81829252
10,30071,12.597916,41.845044,1611,4,10097.8392307
10,46293,12.595279,41.836621,4841,19,10413.4398923
10,23213,12.594273,41.833432,1692,17,10552.7946343
10,24183,12.586299,41.828538,5837,19,10379.9559617
10,24193,12.589954,41.830825,6233,12,10447.7609542
10,46292,12.598624,41.845512,3815,4,10123.3073917
10,46292,12.594899,41.834423,211,13,10529.3718516
10,30227,12.592978,41.843354,4176,4,9842.0462699
10,23802,12.604648,41.901882,5747,5,9410.97673703
10,28751,12.599882,41.872677,6386,5,9136.26818227
10,28982,12.599867,41.937846,7164,22,10374.4904907
10,28321,12.607769,41.876865,1503,2,9694.89221807
10,23703,12.597551,41.896031,6268,3,8756.33916151
10,29951,12.593765,41.908108,4895,2,8649.65821373
10,64141,12.537276,41.978243,913,4,10468.2570955
10,28382,12.546836,41.972419,5116,6,10192.5677772
10,64142,12.538681,41.972062,5900,5,9874.60474171
10,28752,12.597388,41.854553,1128,2,9576.84052035
10,28759,12.595675,41.848747,541,3,9735.54420587
10,51259,12.577858,41.818874,213,2,10637.3698981
10,30491,12.565143,41.813043,4197,9,10485.7777523
10,28732,12.494437,41.797071,3994,5,10342.3413809
10,30222,12.573649,41.818222,2396,4,10462.5021832
10,30028,12.572935,41.821599,2645,2,10139.5279396
10,1561,12.539252,41.82116,8399,5,8598.68609576
10,30382,12.524147,41.81011,7928,5,9276.84234454
10,28358,12.476711,41.798737,3169,7,10238.3405223
10,30492,12.579438,41.822448,2278,3,10435.6054535
10,28981,12.597507,41.937767,3026,6,10202.0668193
10,24062,12.529034,41.817426,7829,3,8635.75644143
10,26461,12.471735,41.799041,1572,4,10265.5712262
10,24061,12.523507,41.826879,6951,2,7491.56121038
10,24321,12.595581,41.938525,2867,3,10110.1732888
10,54562,12.555112,41.967969,4275,10,10088.6671024
10,54561,12.548522,41.974996,5206,12,10511.0884001
10,54563,12.548572,41.966923,5284,7,9717.62276268
10,28388,12.53811,41.976426,5956,7,10305.2196971
10,23703,12.612519,41.871978,2600,2,10178.824321
10,28377,12.467633,41.975773,5085,2,9725.91629328
10,23831,12.459262,41.982027,282,2,10564.5951499
10,28983,12.5688,41.958757,8101,9,9912.80794593
10,28999,12.608383,41.926059,963,3,10421.2078195
10,28511,12.610713,41.927123,756,2,10645.0129917
10,24027,12.595906,41.850973,350,2,9638.13218211
10,24029,12.589855,41.838875,1153,3,9900.81130154
10,46291,12.586941,41.834396,591,2,10004.3708262
10,30079,12.586941,41.834396,591,2,10004.3708262
10,10086029,12.548777,41.952596,791,160,8366.41130972
10,28391,12.58772,41.938596,3327,4,9568.33483921
10,30071,12.53103,41.919133,18071,3,4545.03806552
10,54043,12.536039,41.976445,5252,3,10245.154923
10,10084454,12.477344,41.854752,994,5,4126.27831914
10,10084451,12.477716,41.854385,1318,15,4156.04306396
10,10084457,12.477263,41.856395,833,7,3954.78231647
10,10084169,12.408101,41.890088,2203,122,6990.51723024
10,10363646,12.433976,41.899066,95,5,4942.43321404
10,10411813,12.439343,41.901308,447,16,4567.87392067
10,10412500,12.45936,41.907861,1362,101,3368.29253148
10,28812,12.471287,41.903484,28,3,2288.12666913
10,10413499,12.470776,41.907394,555,73,2618.77974152
10,30061,12.468889,41.905133,103,10,2558.35529421
10,10412280,12.471631,41.910972,1019,152,2878.77004955
10,10412462,12.477586,41.908439,338,68,2369.22816407
10,10412039,12.478744,41.905928,2,6,2081.70105917
10,10412042,12.47978,41.906079,245,28,2050.85027852
10,10412917,12.482222,41.90629,31,5,1976.94037989
10,29811,12.481417,41.90549,306,3,1927.33068315
10,10412911,12.482443,41.907109,329,36,2052.27099715
10,10412914,12.483148,41.906108,22,5,1926.99559132
10,10414605,12.482616,41.905762,98,20,1909.96993189
10,28771,12.483789,41.903551,1485,3,1646.3309687
10,29637,12.48039,41.909816,35,5,2396.23865343
10,10363625,12.476549,41.908586,1306,8,2428.52615699
10,10414277,12.482643,41.91194,204,42,2547.8387803
10,29711,12.482781,41.913288,29,5,2686.9279226
10,46712,12.481784,41.912137,259,4,2591.80349546
10,30441,12.482824,41.912909,72,10,2645.667916
10,10411871,12.482391,41.912325,1,2,2595.02172366
10,10411874,12.481394,41.911465,162,19,2533.08849368
10,10412459,12.472832,41.910226,825,263,2752.98811113
10,10362330,12.470328,41.91299,419,54,3123.49115132
10,10362413,12.475582,41.909567,240,44,2563.56775575
10,10362333,12.469125,41.916104,1,2,3464.5696718
10,10412179,12.510906,41.925112,10,3,4175.55558675
10,10398700,12.515514,41.928029,142,11,4623.78612094
10,10398702,12.516078,41.928347,88,10,4675.45279226
10,10398699,12.515997,41.928309,141,8,4668.79535033
10,10398704,12.513284,41.928585,76,9,4607.05923365
10,10398703,12.515227,41.928964,112,4,4708.76147894
10,10086541,12.601221,41.855915,4102,52,9807.7310662
10,10034030,12.613812,41.903387,4048,134,10187.3220922
10,582112,12.464753,41.832628,38,4,6789.34691323
10,25242048,12.513608,41.886008,8,2,1825.49041929
10,582380,12.484494,41.947808,452,293,6434.54545165
10,582381,12.481517,41.951017,188,58,6817.32686651
10,582379,12.484544,41.950367,130,20,6716.98493047
10,647027,12.477165,41.937797,99,13,5437.25455393
10,583360,12.468857,41.937028,514,51,5556.70331747
10,583359,12.467568,41.939064,701,55,5806.00772796
10,581481,12.473548,41.937341,30,8,5465.86156981
10,584340,12.464507,41.944992,37,9,6511.66615593
10,581430,12.465677,41.944867,55,19,6464.84897525
10,568461,12.467888,41.942666,36,15,6173.03799702
10,582331,12.468056,41.942718,3,12,6173.93316798
10,583802,12.467746,41.942465,4,3,6155.8497654
10,64042,12.46786,41.942768,3,2,6184.50135879
10,1631,12.467839,41.942777,8,2,6186.01757544
10,647028,12.48347,41.944785,992,57,6110.2250805
