radio,net,cell,lon,lat,range,samples,distance
GSM,10,29369,12.630353,41.892274,10568,2,10253
GSM,10,28691,12.62004,41.890106,9674,2,9484
GSM,10,30032,12.586933,41.946829,4479,7,9440
GSM,10,28988,12.590219,41.942038,5038,6,9283
GSM,10,28993,12.609723,41.91265,5075,4,9071
GSM,10,30033,12.548766,41.967403,7522,10,9559
GSM,10,30031,12.557207,41.959724,7603,6,9115
GSM,10,56461,12.58509,41.937711,2992,6,8686
GSM,10,28323,12.606999,41.875426,1331,2,8671
GSM,10,28757,12.602356,41.852514,1164,3,9179
GSM,10,23293,12.628411,41.835802,4406,3,11772
GSM,10,51921,12.611962,41.898831,4354,3,8937
GSM,10,23642,12.611962,41.898831,4354,3,8937
GSM,10,23643,12.608982,41.908833,4793,6,8909
GSM,10,23967,12.59448,41.837358,4778,13,9591
GSM,10,28753,12.600597,41.853299,1565,5,9023
GSM,10,28758,12.602325,41.86057,4392,7,8805
GSM,10,30071,12.597916,41.845044,1611,4,9307
GSM,10,30072,12.608984,41.841985,5543,5,10183
GSM,10,46293,12.595279,41.836621,4841,19,9688
GSM,10,23213,12.594273,41.833432,1692,17,9853
GSM,10,24183,12.586299,41.828538,5837,19,9779
GSM,10,24193,12.589954,41.830825,6233,12,9801
GSM,10,46292,12.598624,41.845512,3815,4,9323
GSM,10,46292,12.594899,41.834423,211,13,9818
GSM,10,30227,12.592978,41.843354,4176,4,9107
GSM,10,24187,12.598318,41.821227,1647,6,10985
GSM,10,23802,12.604648,41.901882,5747,5,8443
GSM,10,28751,12.599882,41.872677,6386,5,8219
GSM,10,28982,12.599867,41.937846,7164,22,9589
GSM,10,28311,12.619924,41.920391,4363,5,10056
GSM,10,30102,12.646548,41.863672,900,3,11823
GSM,10,28853,12.624826,41.865008,1415,3,10227
GSM,10,30103,12.630946,41.863548,1905,3,10709
GSM,10,28852,12.630946,41.863548,1905,3,10709
GSM,10,28321,12.607769,41.876865,1503,2,8698
GSM,10,23703,12.597551,41.896031,6268,3,7841
GSM,10,29951,12.593765,41.908108,4895,2,7794
GSM,10,64141,12.537276,41.978243,913,4,10349
GSM,10,28382,12.546836,41.972419,5116,6,10004
GSM,10,64142,12.538681,41.972062,5900,5,9737
GSM,10,28752,12.597388,41.854553,1128,2,8748
GSM,10,28759,12.595675,41.848747,541,3,8949
GSM,10,51259,12.577858,41.818874,213,2,10157
GSM,10,30491,12.565143,41.813043,4197,9,10138
GSM,10,28732,12.494437,41.797071,3994,5,10356
GSM,10,26462,12.484231,41.792807,1036,5,10846
GSM,10,30022,12.56526,41.809859,1249,2,10444
GSM,10,30222,12.573649,41.818222,2396,4,10023
GSM,10,30028,12.572935,41.821599,2645,2,9693
GSM,10,23282,12.436595,41.795419,6230,6,11321
GSM,10,1561,12.539252,41.82116,8399,5,8429
GSM,10,30382,12.524147,41.81011,7928,5,9212
GSM,10,28351,12.463972,41.791905,1869,2,11130
GSM,10,28733,12.498413,41.790826,4444,3,11059
GSM,10,28358,12.476711,41.798737,3169,7,10235
GSM,10,30492,12.579438,41.822448,2278,3,9926
GSM,10,28981,12.597507,41.937767,3026,6,9438
GSM,10,30077,12.620595,41.84292,4356,3,10875
GSM,10,30078,12.617337,41.836559,4449,3,11029
GSM,10,24062,12.529034,41.817426,7829,3,8537
GSM,10,28728,12.447246,41.786618,3363,3,11993
GSM,10,28722,12.429748,41.792429,5589,4,11821
GSM,10,26461,12.471735,41.799041,1572,4,10250
GSM,10,24061,12.523507,41.826879,6951,2,7410
GSM,10,21392,12.641612,41.926772,8883,11,11813
GSM,10,28992,12.628572,41.913569,7798,9,10449
GSM,10,26262,12.516635,41.985723,2326,3,10780
GSM,10,28311,12.612105,41.931284,7882,10,10004
GSM,10,23643,12.610506,41.930167,4865,8,9842
GSM,10,23641,12.607089,41.935963,7229,7,9931
GSM,10,24321,12.595581,41.938525,2867,3,9368
GSM,10,23642,12.612097,41.936199,7538,11,10266
GSM,10,28317,12.618635,41.933508,2576,6,10549
GSM,10,28313,12.623837,41.928117,1960,2,10642
GSM,10,28991,12.64371,41.92269,10917,16,11813
GSM,10,54562,12.555112,41.967969,4275,10,9830
GSM,10,54561,12.548522,41.974996,5206,12,10317
GSM,10,28993,12.618726,41.929134,7293,9,10342
GSM,10,54563,12.548572,41.966923,5284,7,9505
GSM,10,28388,12.53811,41.976426,5956,7,10179
GSM,10,24028,12.619008,41.842358,2026,2,10803
GSM,10,23703,12.612519,41.871978,2600,2,9150
GSM,10,29951,12.623824,41.896204,5460,3,9789
GSM,10,28377,12.467633,41.975773,5085,2,9696
GSM,10,23831,12.459262,41.982027,282,2,10508
GSM,10,28983,12.5688,41.958757,8101,9,9512
GSM,10,28999,12.608383,41.926059,963,3,9500
GSM,10,28312,12.630204,41.939006,1305,2,11595
GSM,10,21393,12.627647,41.93314,4866,10,11131
GSM,10,21399,12.620861,41.931408,41832,299,10593
GSM,10,24337,12.480083,41.990634,1789,3,11210
GSM,10,30013,12.483798,41.992337,1452,2,11381
GSM,10,28389,12.471962,41.991119,4558,4,11329
GSM,10,28511,12.610713,41.927123,756,2,9707
GSM,10,24027,12.595906,41.850973,350,2,8839
GSM,10,23292,12.624846,41.843034,1063,2,11146
GSM,10,24029,12.589855,41.838875,1153,3,9217
GSM,10,46291,12.586941,41.834396,591,2,9370
GSM,10,30079,12.586941,41.834396,591,2,9370
GSM,10,56413,12.39702,41.812763,450,2,11142
GSM,10,46323,12.376594,41.827537,6500,12,11060
UMTS,10,10086029,12.548777,41.952596,791,160,8111
GSM,10,28391,12.58772,41.938596,3327,4,8901
GSM,10,51922,12.622731,41.939679,6873,4,11144
GSM,10,31053,12.473995,41.995984,4307,4,11847
GSM,10,31052,12.50584,41.990319,6836,2,11184
GSM,10,30071,12.53103,41.919133,18071,3,4317
GSM,10,54043,12.536039,41.976445,5252,3,10130
GSM,10,28998,12.635138,41.920561,3610,3,11134
GSM,10,26088,12.619873,41.932566,5993,16,10584
UMTS,10,10084454,12.477344,41.854752,994,5,4093
UMTS,10,10084451,12.477716,41.854385,1318,15,4125
UMTS,10,10084457,12.477263,41.856395,833,7,3920
UMTS,10,10084169,12.408101,41.890088,2203,122,6255
UMTS,10,10363646,12.433976,41.899066,95,5,4445
UMTS,10,10411813,12.439343,41.901308,447,16,4125
UMTS,10,10412500,12.45936,41.907861,1362,101,3141
GSM,10,28812,12.471287,41.903484,28,3,2152
UMTS,10,10413499,12.470776,41.907394,555,73,2496
GSM,10,30061,12.468889,41.905133,103,10,2408
UMTS,10,10412280,12.471631,41.910972,1019,152,2777
UMTS,10,10412462,12.477586,41.908439,338,68,2308
UMTS,10,10412039,12.478744,41.905928,2,6,2022
UMTS,10,10412042,12.47978,41.906079,245,28,1999
