net,cell,lon,lat,range,samples,distanze
88,16608,12.60592,41.918988,4129,7,9953.57260782
88,55647,12.604219,41.928254,9245,23,10201.3589373
88,55650,12.610001,41.912301,3419,4,10068.6908057
88,55652,12.606106,41.918583,4001,4,9953.86376288
88,18839,12.59043,41.843897,1901,2,9630.73740825
88,17613,12.604799,41.849328,6280,6,10380.8358463
88,17611,12.588514,41.905357,8700,3,8157.81072558
88,8973,12.608533,41.85333,5738,5,10478.8047113
88,29919,12.579861,41.838201,5860,4,9280.97606192
88,16796,12.562233,41.812977,3110,15,10354.3843994
88,64246,12.56245,41.815608,2889,2,10124.0132841
88,29921,12.598685,41.849912,6823,5,9897.25914989
88,29749,12.598459,41.930992,5586,18,9903.79242148
88,55651,12.599017,41.929897,5710,20,9890.18735884
88,29750,12.597703,41.931058,5541,20,9851.4429253
88,16607,12.586768,41.945815,3711,4,9978.49724377
88,18842,12.585937,41.831462,1054,2,10145.5132789
88,17615,12.585777,41.831213,1024,2,10153.1673048
88,17618,12.603786,41.870979,3705,3,9493.83742674
88,30011,12.600117,41.869333,5838,4,9241.52223546
88,17617,12.607424,41.885966,5340,3,9563.65667774
88,8977,12.615545,41.909203,695,2,10440.5853315
88,19111,12.573156,41.96236,5712,2,10451.4525856
88,9436,12.56422,41.963813,3010,4,10122.1131697
88,19112,12.609439,41.921827,1838,3,10333.2722552
88,17458,12.605115,41.921066,1552,2,9967.2882686
88,8823,12.593615,41.938491,650,2,9970.33011634
88,29748,12.601856,41.927678,2433,18,9996.48806637
88,16610,12.594642,41.931268,626,3,9637.797857
88,55648,12.598454,41.932559,4478,8,9984.20850989
88,16609,12.601236,41.928583,580,13,9992.19457846
88,29778,12.600932,41.930287,232,2,10051.7346543
88,17574,12.600916,41.928267,10,5,9953.24166192
88,29747,12.600821,41.932236,4625,5,10141.2499508
88,29746,12.599868,41.933898,4431,3,10157.9911785
88,18717,12.56196,41.966771,1559,2,10282.8911462
88,18897,12.567046,41.964479,1181,3,10320.9856996
88,52636,12.548737,41.973013,2854,4,10322.2286214
88,8818,12.58569,41.953042,161,2,10427.6946903
88,55742,12.582079,41.82635,833,2,10285.2635546
88,31787,12.472554,41.798473,387,2,10316.7354962
88,30015,12.415942,41.821713,5723,14,9902.24707394
88,18797,12.514291,41.808836,8524,3,9216.36180545
88,17294,12.540981,41.813305,6504,2,9445.37966642
88,17623,12.465948,41.800007,993,2,10251.6624254
88,18617,12.472123,41.814149,11297,6,8609.15231836
88,8972,12.612674,41.898553,2658,4,10030.2618128
88,8978,12.601748,41.875072,4632,2,9235.5064842
88,9435,12.532454,41.979972,881,3,10514.5946898
88,8692,12.381117,41.907518,2468,2,9427.68320034
88,52635,12.535013,41.978663,1092,2,10446.7794403
88,8818,12.595498,41.94047,1120,2,10220.6938031
88,16606,12.613134,41.908619,5017,14,10231.6002331
88,50544,12.611787,41.902146,3041,4,10001.897319
88,50545,12.608133,41.89077,2990,4,9610.94712799
88,16607,12.608971,41.894929,3457,5,9694.35550666
