radio,net,cell,lon,lat,range,samples,distance
GSM,88,19451,12.531354,41.986043,2172,4,11050
GSM,88,16608,12.60592,41.918988,4129,7,9026
GSM,88,55647,12.604219,41.928254,9245,23,9329
GSM,88,55650,12.610001,41.912301,3419,4,9080
GSM,88,55652,12.606106,41.918583,4001,4,9023
GSM,88,18839,12.59043,41.843897,1901,2,8917
GSM,88,17613,12.604799,41.849328,6280,6,9505
GSM,88,17611,12.588514,41.905357,8700,3,7341
GSM,88,8973,12.608533,41.85333,5738,5,9550
GSM,88,29919,12.579861,41.838201,5860,4,8696
GSM,88,16796,12.562233,41.812977,3110,15,10031
GSM,88,64246,12.56245,41.815608,2889,2,9790
GSM,88,29921,12.598685,41.849912,6823,5,9076
GSM,88,29749,12.598459,41.930992,5586,18,9098
GSM,88,55651,12.599017,41.929897,5710,20,9074
GSM,88,29750,12.597703,41.931058,5541,20,9053
GSM,88,16607,12.586768,41.945815,3711,4,9356
GSM,88,17459,12.553204,41.982122,5315,7,11183
GSM,88,17454,12.559185,41.977878,5365,3,10947
GSM,88,8819,12.565107,41.974031,5834,6,10782
GSM,88,18842,12.585937,41.831462,1054,2,9534
GSM,88,17615,12.585777,41.831213,1024,2,9545
GSM,88,9116,12.623181,41.880376,11351,3,9777
GSM,88,17618,12.603786,41.870979,3705,3,8546
GSM,88,30011,12.600117,41.869333,5838,4,8332
GSM,88,17617,12.607424,41.885966,5340,3,8559
GSM,88,8977,12.615545,41.909203,695,2,9393
GSM,88,19111,12.573156,41.96236,5712,2,10027
GSM,88,26326,12.531509,41.993644,3383,6,11871
GSM,88,9436,12.56422,41.963813,3010,4,9779
GSM,88,19112,12.609439,41.921827,1838,3,9385
GSM,88,17458,12.605115,41.921066,1552,2,9055
GSM,88,8823,12.593615,41.938491,650,2,9247
GSM,88,29748,12.601856,41.927678,2433,18,9143
GSM,88,16610,12.594642,41.931268,626,3,8869
GSM,88,55648,12.598454,41.932559,4478,8,9186
GSM,88,16609,12.601236,41.928583,580,13,9149
GSM,88,29778,12.600932,41.930287,232,2,9219
GSM,88,17574,12.600916,41.928267,10,5,9112
GSM,88,29747,12.600821,41.932236,4625,5,9319
GSM,88,29746,12.599868,41.933898,4431,3,9353
GSM,88,36608,12.628005,41.919081,5627,6,10579
GSM,88,18717,12.56196,41.966771,1559,2,9968
GSM,88,18897,12.567046,41.964479,1181,3,9956
GSM,88,52636,12.548737,41.973013,2854,4,10122
GSM,88,8818,12.58569,41.953042,161,2,9850
GSM,88,26448,12.548809,41.988182,3136,2,11681
GSM,88,55742,12.582079,41.82635,833,2,9734
GSM,88,18730,12.613228,41.843283,3375,3,10379
GSM,88,31772,12.539132,41.795004,528,2,11140
GSM,88,31786,12.41703,41.796394,4994,4,11832
GSM,88,31787,12.472554,41.798473,387,2,10304
GSM,88,17837,12.416283,41.798801,5207,5,11624
GSM,88,18892,12.398751,41.818875,6905,7,10541
GSM,88,30015,12.415942,41.821713,5723,14,9493
GSM,88,18797,12.514291,41.808836,8524,3,9192
GSM,88,17294,12.540981,41.813305,6504,2,9280
GSM,88,18795,12.528252,41.790979,9043,3,11350
GSM,88,18796,12.528252,41.790979,9043,3,11350
GSM,88,17623,12.465948,41.800007,993,2,10218
GSM,88,17624,12.437143,41.788895,3497,2,11985
GSM,88,36659,12.457995,41.791421,1774,2,11275
GSM,88,18617,12.472123,41.814149,11297,6,8587
GSM,88,8972,12.612674,41.898553,2658,4,8986
GSM,88,8976,12.620927,41.868123,5788,3,9858
GSM,88,8978,12.601748,41.875072,4632,2,8296
GSM,88,9435,12.532454,41.979972,881,3,10423
GSM,88,9413,12.625645,41.914419,7456,7,10263
GSM,88,8692,12.381117,41.907518,2468,2,8483
GSM,88,36491,12.331425,41.890857,4166,2,11950
GSM,88,9117,12.639907,41.89423,9336,11,10969
GSM,88,17882,12.519833,41.985794,1011,2,10830
GSM,88,9435,12.525189,41.987536,234,2,11101
GSM,88,52635,12.535013,41.978663,1092,2,10341
GSM,88,8818,12.595498,41.94047,1120,2,9489
GSM,88,16606,12.613134,41.908619,5017,14,9204
GSM,88,50544,12.611787,41.902146,3041,4,8971
GSM,88,50545,12.608133,41.89077,2990,4,8600
GSM,88,16607,12.608971,41.894929,3457,5,8678
GSM,88,8971,12.608222,41.881155,4782,3,8664
GSM,88,9550,12.620761,41.837008,2447,2,11218
GSM,88,8981,12.577372,41.818634,881,2,10156
GSM,88,19080,12.581891,41.82428,1604,2,9894
GSM,88,9501,12.632644,41.890044,10033,2,10420
GSM,88,9328,12.616583,41.901737,794,2,9317
GSM,88,55648,12.611476,41.908407,4968,6,9079
GSM,88,29747,12.610383,41.90451,4526,5,8912
GSM,88,29746,12.613015,41.911901,224,2,9284
GSM,88,29745,12.614165,41.918499,959,6,9583
GSM,88,32030,12.614198,41.917836,887,5,9561
GSM,88,17509,12.583634,41.896551,3848,3,6818
UMTS,88,25324723,12.471746,41.806185,13724,8,9465
UMTS,88,25336940,12.45215,41.796724,269,8,10813
UMTS,88,25336899,12.454797,41.804168,140,3,9963
UMTS,88,25336907,12.449798,41.80618,483,3,9860
UMTS,88,25337603,12.457852,41.809356,414,7,9346
UMTS,88,25794847,12.463123,41.818612,568,16,8249
UMTS,88,25795048,12.459835,41.81941,960,13,8231
UMTS,88,25794846,12.468928,41.82684,766,15,7255
UMTS,88,25795641,12.471786,41.835204,364,7,6301
UMTS,88,25795055,12.475002,41.841488,255,4,5565
UMTS,88,25795639,12.477615,41.845116,80,2,5129
UMTS,88,25796248,12.480368,41.847017,74,3,4881
UMTS,88,25757789,12.480831,41.847361,10,2,4837
UMTS,88,25796246,12.489433,41.853468,255,5,4088
UMTS,88,25796249,12.494678,41.858431,334,11,3534
UMTS,88,25796262,12.495323,41.85825,124,5,3557
UMTS,88,25766434,12.495484,41.8586,66,2,3519
UMTS,88,25764634,12.495491,41.858613,66,2,3518
UMTS,88,25764560,12.495047,41.859169,135,3,3454
UMTS,88,25766360,12.495482,41.858817,82,2,3495
UMTS,88,25757790,12.497435,41.861132,449,10,3252
UMTS,88,25766358,12.493432,41.86377,8765,13,2937
UMTS,88,25704692,12.496341,41.875537,50,2,1654
UMTS,88,25729437,12.495412,41.87834,151,4,1335
GSM,88,8566,12.493662,41.881079,770,38,1016
UMTS,88,25692198,12.493616,41.881404,323,14,979
UMTS,88,25692197,12.488064,41.886498,564,23,517
UMTS,88,25692200,12.489255,41.884815,57,4,638
UMTS,88,25692199,12.483878,41.886415,286,7,754
UMTS,88,25698679,12.482578,41.888312,169,6,753
UMTS,88,25698677,12.482209,41.887419,17,2,811
UMTS,88,25701471,12.466954,41.882394,1451,3,2073
UMTS,88,25271514,12.48104,41.88812,33,2,869
UMTS,88,25730781,12.464182,41.881443,1583,10,2304
UMTS,88,25271514,12.480187,41.889476,75,3,905
UMTS,88,25270652,12.475027,41.891919,569,19,1299
UMTS,88,25233385,12.471975,41.892537,199,6,1534
UMTS,88,25233388,12.469795,41.891483,202,5,1680
UMTS,88,25271345,12.469488,41.893135,312,6,1728
UMTS,88,25271341,12.470056,41.888713,835,13,1662
UMTS,88,25271512,12.466697,41.896323,9,2,2023
GSM,88,26311,12.469958,41.897576,450,18,1854
UMTS,88,25243271,12.465963,41.897045,109,4,2102
UMTS,88,25269106,12.464746,41.898678,34,2,2256
UMTS,88,25239878,12.463762,41.9015,237,11,2467
UMTS,88,25233398,12.463993,41.901719,118,7,2465
UMTS,88,25242701,12.463807,41.900742,987,6,2422
UMTS,88,25240902,12.463162,41.904481,100,6,2688
UMTS,88,25239881,12.460589,41.906189,261,10,2955
UMTS,88,25233401,12.46476,41.905191,1138,9,2642
UMTS,88,25233400,12.460104,41.9067,209,12,3018
UMTS,88,25233397,12.46133,41.906716,27,4,2947
UMTS,88,25233402,12.453033,41.908094,1092,32,3534
UMTS,88,25239882,12.450101,41.909997,796,4,3834
UMTS,88,25239880,12.459514,41.907613,117,14,3115
UMTS,88,25233410,12.452067,41.906759,50,3,3513
UMTS,88,25271472,12.450284,41.906399,55,3,3607
UMTS,88,25730238,12.445184,41.902783,925,7,3772
UMTS,88,25241870,12.446546,41.902465,298,7,3665
UMTS,88,25233405,12.443532,41.897556,743,8,3716
UMTS,88,25233404,12.443687,41.899425,111,4,3756
UMTS,88,25698818,12.443072,41.899589,170,9,3805
UMTS,88,25711233,12.442125,41.901252,103,4,3927
UMTS,88,25711232,12.443536,41.904138,328,9,3943
UMTS,88,25240071,12.440964,41.902864,402,4,4068
UMTS,88,25240069,12.44785,41.90793,230,17,3849
UMTS,88,25241869,12.450064,41.909461,2709,13,3802
UMTS,88,25730766,12.442234,41.917882,693,143,4832
UMTS,88,25700630,12.442191,41.918209,473,147,4857
UMTS,88,25700631,12.442091,41.917789,696,43,4833
UMTS,88,25698831,12.442216,41.918332,113,49,4865
UMTS,88,25698830,12.441973,41.918886,507,19,4918
GSM,88,8719,12.442093,41.917413,633,8,4807
UMTS,88,25730765,12.441981,41.918227,52,9,4870
GSM,88,39015,12.636671,41.912104,3192,2,10995
GSM,88,9195,12.40685,41.823883,815,25,9726
UMTS,88,25243380,12.486013,41.893988,135,59,632
UMTS,88,25243379,12.488189,41.8935,118,27,481
UMTS,88,25438586,12.58611,41.953142,451,2,9880
UMTS,88,25440016,12.562711,41.96312,641,2,9653
UMTS,88,25438579,12.501516,41.990312,365,2,11158
UMTS,88,25438517,12.422954,41.97831,418,2,11076
UMTS,88,25307391,12.374992,41.904897,1971,3,8868
UMTS,88,25242587,12.501008,41.899037,45,40,1177
GSM,88,17161,12.461863,41.899184,18300,157,2474
UMTS,88,25438663,12.509517,41.880727,92,4,1653
UMTS,88,25439294,12.551216,41.84293,100,2,6835
UMTS,88,25438722,12.56206,41.824843,961,30,8920
UMTS,88,25438721,12.56314,41.822878,353,51,9145
UMTS,88,25438773,12.566845,41.930722,26,54,7140
UMTS,88,25307451,12.426424,41.938309,752,152,7255
UMTS,88,25310972,12.425246,41.936916,177,137,7202
UMTS,88,25438995,12.534562,41.866328,381,31,4106
UMTS,88,25438718,12.551641,41.836843,410,6,7386
UMTS,88,25307452,12.424765,41.93883,487,45,7381
UMTS,88,25245965,12.439135,41.934345,412,47,6305
UMTS,88,25245457,12.465684,41.934942,465,220,5358
UMTS,88,25241890,12.466272,41.93648,503,154,5502
UMTS,88,25308252,12.465137,41.938446,3,3,5736
UMTS,88,25241892,12.465742,41.932093,28,16,5063
GSM,88,8755,12.424854,41.937748,3,2,7289
GSM,88,16596,12.42485,41.93768,6,3,7284
UMTS,88,25439317,12.62751,41.874119,318,39,10195
GSM,88,36189,12.626788,41.873595,193,2,10152
UMTS,88,25242048,12.513697,41.886169,122,53,1648
UMTS,88,25438664,12.511406,41.879431,47,13,1853
UMTS,88,25241878,12.4422,41.919342,54,7,4939
UMTS,88,25241879,12.440224,41.919438,283,127,5057
UMTS,88,25241880,12.439637,41.919991,11,3,5130
GSM,88,8971,12.626112,41.873357,47,16,10108
GSM,88,9549,12.627246,41.874044,68,12,10177
UMTS,88,25438885,12.628761,41.874528,20,22,10278
UMTS,88,25449930,12.628824,41.87449,13,5,10284
GSM,88,9042,12.37957,41.813529,4277,48,11945
GSM,88,30023,12.406437,41.826734,4473,53,9509
GSM,88,9050,12.370295,41.820626,1390,5,11910
GSM,88,8672,12.390558,41.814606,3304,39,11299
GSM,88,16876,12.406723,41.824781,3497,24,9657
GSM,88,16883,12.405083,41.827476,3405,20,9516
GSM,88,18712,12.38975,41.822341,901,6,10718
GSM,88,16877,12.408958,41.825159,1326,26,9517
GSM,88,8671,12.415281,41.827787,1720,34,8991
GSM,88,17297,12.424408,41.831265,2013,29,8267
GSM,88,17296,12.428564,41.82494,2541,19,8662
