relativeGiantClusterSize,diameter,percentuale
1.0,2,0
0.991551459293,7,1
0.986035686579,8,2
0.967084639498,10,3
0.947743467933,12,4
0.9376,17,5
0.914308811641,17,6
0.905968928863,20,7
0.901652892562,24,8
0.898913951546,24,9
0.882601351351,28,10
0.880444064902,31,11
0.875647668394,31,12
0.863755458515,32,13
0.841732979664,37,14
0.527728085868,31,15
0.502262443439,32,16
0.356227106227,19,17
0.339202965709,19,18
0.339587242026,20,19
0.343155893536,21,20
0.342637151107,21,21
0.343079922027,21,22
0.304047384008,21,23
0.303,22,24
0.290780141844,22,25
0.289527720739,22,26
0.285416666667,24,27
0.286166842661,24,28
0.289079229122,24,29
0.2888165038,24,30
0.257709251101,16,31
0.261452513966,16,32
0.255102040816,15,33
0.256912442396,16,34
0.258479532164,16,35
0.262470308789,16,36
0.265379975875,16,37
0.262254901961,16,38
0.251556662516,16,39
0.249683143219,14,40
0.253865979381,14,41
0.231979030144,14,42
0.213333333333,11,43
0.217096336499,11,44
0.219613259669,12,45
0.196905766526,12,46
0.19368723099,13,47
0.194444444444,14,48
0.196721311475,15,49
0.196048632219,15,50
0.198449612403,16,51
0.183544303797,16,52
0.185783521809,17,53
0.190082644628,17,54
0.194256756757,17,55
0.198618307427,17,56
0.123674911661,14,57
0.112115732369,12,58
0.114814814815,12,59
0.100760456274,11,60
0.103313840156,11,61
0.096,11,62
0.0985626283368,11,63
0.101265822785,11,64
0.0694143167028,9,65
0.0714285714286,9,66
0.073732718894,9,67
0.0760095011876,9,68
0.0637254901961,5,69
0.0658227848101,5,70
0.0680628272251,5,71
0.070460704607,5,72
0.0449438202247,5,73
0.046783625731,5,74
0.048632218845,5,75
0.0506329113924,5,76
0.0528052805281,5,77
0.0310344827586,4,78
0.0324909747292,4,79
0.0342205323194,4,80
0.036,4,81
0.0379746835443,4,82
0.0401785714286,4,83
0.0284360189573,3,84
0.030303030303,3,85
0.027027027027,2,86
0.0292397660819,1,87
0.0316455696203,1,88
0.0344827586207,1,89
0.0378787878788,1,90
0.0336134453782,1,91
0.0283018867925,1,92
0.0322580645161,1,93
0.0253164556962,1,94
0.030303030303,1,95
0.0377358490566,1,96
0.05,1,97
0.0740740740741,1,98
0.0714285714286,0,99
0.0,0,100
