relativeGiantClusterSize,diameter,percentuale
1.0,2,0
1.0,2,1
1.0,2,2
1.0,2,3
1.0,2,4
1.0,2,5
1.0,2,6
1.0,3,7
1.0,3,8
1.0,3,9
1.0,3,10
1.0,3,11
1.0,3,12
1.0,3,13
1.0,3,14
1.0,3,15
1.0,3,16
1.0,3,17
1.0,3,18
1.0,3,19
1.0,3,20
1.0,3,21
1.0,3,22
1.0,3,23
1.0,3,24
1.0,3,25
1.0,3,26
1.0,3,27
1.0,3,28
1.0,3,29
1.0,3,30
1.0,3,31
1.0,3,32
1.0,3,33
1.0,3,34
1.0,3,35
1.0,3,36
1.0,3,37
1.0,3,38
1.0,3,39
1.0,3,40
1.0,3,41
1.0,3,42
1.0,3,43
1.0,3,44
1.0,3,45
1.0,3,46
1.0,3,47
1.0,3,48
1.0,3,49
1.0,3,50
1.0,3,51
1.0,3,52
1.0,3,53
1.0,3,54
1.0,3,55
1.0,3,56
1.0,3,57
1.0,3,58
1.0,3,59
1.0,3,60
1.0,3,61
1.0,3,62
1.0,3,63
1.0,3,64
1.0,3,65
1.0,3,66
1.0,3,67
1.0,3,68
1.0,3,69
1.0,4,70
1.0,4,71
1.0,4,72
1.0,4,73
1.0,4,74
1.0,4,75
1.0,4,76
1.0,4,77
1.0,4,78
1.0,4,79
1.0,4,80
1.0,4,81
1.0,4,82
1.0,4,83
1.0,4,84
1.0,4,85
1.0,4,86
1.0,4,87
1.0,4,88
1.0,4,89
1.0,3,90
1.0,5,91
0.971264367816,8,92
0.967320261438,8,93
0.946564885496,6,94
0.614678899083,6,95
0.172413793103,3,96
0.121212121212,2,97
0.0681818181818,2,98
0.0909090909091,1,99
0.0,0,100
