,net,cell,lon,lat,range,samples,distanze
0,10,28691,12.62004,41.890106,9674,2,10598.96954427886
1,88,16608,12.60592,41.918988,4129,7,9953.572607818684
2,88,55647,12.604219,41.928253999999995,9245,23,10201.358937276658
3,88,55650,12.610000999999999,41.912301,3419,4,10068.690805737382
4,88,55652,12.606106,41.918583,4001,4,9953.863762883719
5,88,18839,12.59043,41.843897,1901,2,9630.737408253199
6,88,17613,12.604799,41.849328,6280,6,10380.835846303902
7,88,17611,12.588514,41.905357,8700,3,8157.810725580304
8,88,8973,12.608533,41.85333,5738,5,10478.80471131144
9,88,29919,12.579861,41.838201,5860,4,9280.97606191968
10,88,16796,12.562233,41.812977000000004,3110,15,10354.384399369375
11,88,64246,12.56245,41.815608000000005,2889,2,10124.013284097271
12,88,29921,12.598685000000001,41.849911999999996,6823,5,9897.259149890937
13,88,29749,12.598459,41.930991999999996,5586,18,9903.792421476208
14,88,55651,12.599017,41.929897,5710,20,9890.187358837038
15,88,29750,12.597703,41.931058,5541,20,9851.442925295045
16,88,16607,12.586768,41.945815,3711,4,9978.497243770364
17,88,18842,12.585937,41.831462,1054,2,10145.513278943014
18,88,17615,12.585777,41.831213,1024,2,10153.167304758224
19,88,17618,12.603786,41.870979,3705,3,9493.837426739257
20,88,30011,12.600117,41.869333000000005,5838,4,9241.522235458831
21,88,17617,12.607424,41.885965999999996,5340,3,9563.656677740644
22,88,8977,12.615545,41.909203000000005,695,2,10440.585331505446
23,88,19111,12.573155999999999,41.96236,5712,2,10451.452585581346
24,10,30032,12.586933,41.946829,4479,7,10059.269423406748
25,10,28988,12.590219,41.942038000000004,5038,6,9956.52603799691
26,10,28993,12.609722999999999,41.91265,5075,4,10055.850095514761
27,10,30033,12.548766,41.967403000000004,7522,10,9772.115749495943
28,10,30031,12.557207,41.959724,7603,6,9414.713080002908
29,10,56461,12.58509,41.937711,2992,6,9332.759185673262
30,10,28323,12.606999,41.875426000000004,1331,2,9657.6582517314
31,10,28757,12.602356,41.852514,1164,3,10046.181522509325
32,10,51921,12.611962,41.898831,4354,3,9974.339308095965
33,10,23642,12.611962,41.898831,4354,3,9974.339308095965
34,10,23643,12.608982000000001,41.908833,4793,6,9899.21492077211
35,10,23967,12.59448,41.837358,4778,13,10312.232278599146
36,10,28753,12.600597,41.853299,1565,5,9877.077957070574
37,10,28758,12.602325,41.86057,4392,7,9704.818292522003
38,10,30071,12.597916,41.845044,1611,4,10097.839230702708
39,10,46293,12.595279,41.836621,4841,19,10413.439892318964
40,10,23213,12.594273,41.833432,1692,17,10552.794634253334
41,10,24183,12.586299,41.828538,5837,19,10379.95596171173
42,10,24193,12.589953999999999,41.830825,6233,12,10447.760954165267
43,10,46292,12.598624000000001,41.845512,3815,4,10123.307391686703
44,10,46292,12.594899,41.834423,211,13,10529.371851603832
45,10,30227,12.592978,41.843354,4176,4,9842.046269903638
46,10,23802,12.604648,41.901882,5747,5,9410.976737028648
47,10,28751,12.599882000000001,41.872677,6386,5,9136.26818226763
48,10,28982,12.599867,41.937846,7164,22,10374.490490742439
49,10,28321,12.607769000000001,41.876865,1503,2,9694.892218066001
50,10,23703,12.597551,41.896031,6268,3,8756.339161513859
51,10,29951,12.593765,41.908108,4895,2,8649.658213733774
52,10,64141,12.537276,41.978243,913,4,10468.257095524537
53,10,28382,12.546836,41.972419,5116,6,10192.567777172042
54,10,64142,12.538681,41.972062,5900,5,9874.604741710868
