,net,cell,lon,lat,range,samples,distanze
0,99,6237896,12.605422,41.921659000000005,1037,19,10013.97871734962
1,99,6237895,12.598905,41.914604,670,23,9250.191503879743
2,99,6267514,12.583758,41.910684,969,20,7921.270366623237
3,99,18695714,12.559888,41.893186,218,17,5616.610020448528
4,99,18716286,12.560467,41.891605,78,4,5656.9891456983305
5,99,50594049,12.557853,41.892516,4901,33,5443.996298135162
6,99,18719326,12.559933000000001,41.893141,201,11,5620.044557014502
7,99,18716235,12.559786,41.892863,364,29,5606.147616367771
8,99,18716236,12.555810000000001,41.894846,534,3,5293.632077869892
9,99,18716238,12.559314,41.894001,10,6,5575.195274271618
10,99,18695716,12.559925,41.893621,40,4,5622.74037436296
11,99,18695715,12.560143,41.892263,0,2,5632.619996247009
12,99,21338974,12.512319,41.889962,8,3,1659.0338004962528
13,99,21300556,12.513217,41.891476000000004,511,18,1739.4070367920149
14,99,21300553,12.512641,41.891042,584,11,1688.339140146685
15,99,21341071,12.508500999999999,41.887471999999995,290,38,1375.1495600760345
16,99,18678071,12.5156,41.889501,417,3,1932.6177928088819
17,99,21341077,12.508702,41.888326,309,29,1374.0994362331307
18,99,21299778,12.508194999999999,41.886608,284,18,1374.8921955548615
19,99,18678077,12.513736999999999,41.888647999999996,306,8,1784.6273253594686
20,99,21300559,12.513008000000001,41.891417,625,14,1721.5848562266563
21,99,21299772,12.505864,41.887194,682,19,1170.8953893260093
22,99,21341074,12.508754,41.88669,315,38,1416.8691227546556
23,99,21299775,12.504461000000001,41.886903000000004,481,38,1070.2451562084366
24,99,18717434,12.509456,41.885988,134,9,1495.3831754670093
25,99,18678076,12.508767,41.886974,36,7,1409.6243874435374
26,99,21299776,12.504354,41.8875,171,28,1041.0778931388388
27,99,21299774,12.503939,41.8881,227,10,990.5317821395898
28,99,21341075,12.503394,41.889144,28,4,925.2459106566471
29,99,21306843,12.506178,41.902387,57,6,1777.8781495469261
30,99,18718575,12.515508,41.876989,643,15,2417.6603096566673
31,99,21338083,12.494251,41.915420000000005,344,4,2808.7414680282927
32,99,21338089,12.493955,41.913251,629,5,2566.844924631952
33,99,6265712,12.561682000000001,41.95085,1349,87,8860.983724340396
34,99,1022505,12.550219,41.951778999999995,1056,19,8359.515206705082
35,99,1024461,12.554333,41.945311,831,571,7997.656868154588
36,99,1024464,12.554544,41.945515,372,52,8026.260101344974
37,99,6233496,12.563784,41.947618,386,20,8708.936578667934
38,99,6265715,12.559924,41.951955,1088,35,8861.672237610945
39,99,6233492,12.568964999999999,41.944089,222,24,8733.804784026443
40,99,6266183,12.572488,41.941909,679,20,8788.67776020816
41,99,6266181,12.578,41.944018,826,12,9288.536449021798
42,99,6266185,12.579262,41.938743,324,11,9006.405594114633
43,99,6238133,12.585617,41.94352,463,11,9746.781490144142
44,99,6264406,12.584586,41.952526,500,7,10321.341002633946
45,99,6266184,12.581414,41.952688,667,14,10140.0906128422
46,99,6238136,12.585717,41.943087,150,3,9724.24745614383
47,99,6266182,12.576226,41.941722999999996,767,126,9012.457544764802
48,99,6266186,12.574850999999999,41.941177,107,9,8885.89749346546
49,99,6233493,12.564909,41.946215,426,55,8660.087748779366
50,99,1021531,12.557615,41.940615,594,14,7792.489530703863
51,99,1022502,12.549864999999999,41.951923,1851,48,8355.801926465358
52,99,1022504,12.547264,41.957722,370,11,8778.095262879664
53,99,1024421,12.543928,41.940135999999995,1517,40,7008.5325702807895
54,99,1024424,12.545919,41.943548,912,24,7410.1086271896065
55,99,989065,12.547255,41.942285,7,2,7366.422319269957
56,99,1024465,12.552128999999999,41.940212,198,10,7449.882899156973
57,99,1021533,12.55367,41.934371,1210,81,7070.866382432969
58,99,1024462,12.548732000000001,41.939631,675,85,7216.02918757438
59,99,1021534,12.557997,41.943402,168,3,8039.304312141571
60,99,6228426,12.576367,41.938299,215,3,8785.184234579732
61,99,1022501,12.547768,41.962548999999996,433,10,9261.142164427234
62,99,6267372,12.541808,41.969401,434,7,9709.81647886872
63,99,6226782,12.54062,41.971013,348,21,9831.808142709157
64,99,6264261,12.535066,41.969390000000004,1253,52,9485.894790138687
65,99,6264264,12.537244,41.972225,957,18,9845.572962127468
66,99,6265682,12.530257,41.974222999999995,2517,14,9851.282514288108
67,99,6233491,12.570625999999999,41.94591,53,4,8972.880159866014
68,99,6233494,12.571828,41.945368,8,2,9004.245583363103
69,99,6228421,12.592817,41.945562,987,9,10360.427766736208
70,99,6231693,12.594422,41.939014,828,2,10058.001556124867
71,99,984795,12.485763,41.892216999999995,431,4,590.4788607047791
72,99,1022842,12.48686,41.893491,577,14,584.7844149205993
73,99,1024891,12.499149000000001,41.894094,2040,2,714.0252528042247
74,99,1023073,12.472304,41.895984999999996,2280,72,1782.992696467661
75,99,1023832,12.476306,41.896232,243,5,1490.4830599643253
76,99,1023782,12.483614,41.900701,381,15,1375.0248533490635
77,99,984712,12.497428999999999,41.902002,759,192,1380.2944774749167
78,99,1022303,12.501963,41.9096,401,57,2301.055563609228
79,99,1021933,12.501709,41.909145,358,112,2246.345648402044
80,99,1022383,12.513363,41.911632,611,56,2954.1098023974096
81,99,1024442,12.528775999999999,41.952263,321,4,7529.993214020993
82,99,1024011,12.526135,41.947355,219,5,6942.826297912699
83,99,1024012,12.529364999999999,41.941132,769,7,6440.188348885656
84,99,1024393,12.521626,41.933424,62,3,5383.785116705733
85,99,1021375,12.516149,41.928564,2,2,4699.794242089454
86,99,1024422,12.532852,41.936096,651,22,6108.9255047161805
87,99,1024443,12.520078999999999,41.952625,32,17,7308.577377226213
88,99,1024453,12.525553,41.963274,20,2,8574.331161725693
