,grado
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,196.0
101,192.0
102,174.0
103,175.0
104,159.0
105,170.0
106,182.0
107,177.0
108,154.0
109,151.0
110,150.0
111,148.0
112,136.0
113,147.0
114,124.0
115,126.0
116,97.0
117,136.0
118,109.0
119,107.0
120,119.0
121,92.0
122,114.0
123,119.0
124,111.0
125,95.0
126,97.0
127,87.0
128,88.0
129,90.0
130,96.0
131,83.0
132,97.0
133,105.0
134,79.0
135,79.0
136,82.0
137,81.0
138,83.0
139,58.0
140,62.0
141,65.0
142,70.0
143,66.0
144,48.0
145,65.0
146,62.0
147,66.0
148,70.0
149,57.0
150,60.0
151,57.0
152,58.0
153,46.0
154,56.0
155,44.0
156,53.0
157,50.0
158,42.0
159,53.0
160,51.0
161,45.0
162,41.0
163,48.0
164,64.0
165,37.0
166,45.0
167,38.0
168,41.0
169,42.0
170,31.0
171,48.0
172,51.0
173,22.0
174,29.0
175,55.0
176,35.0
177,49.0
178,30.0
179,31.0
180,35.0
181,24.0
182,44.0
183,41.0
184,36.0
185,19.0
186,32.0
187,35.0
188,27.0
189,31.0
190,26.0
191,32.0
192,26.0
193,18.0
194,29.0
195,24.0
196,26.0
197,21.0
198,20.0
199,22.0
200,26.0
201,23.0
202,24.0
203,31.0
204,22.0
205,26.0
206,31.0
207,16.0
208,24.0
209,13.0
210,21.0
211,24.0
212,21.0
213,16.0
214,24.0
215,26.0
216,23.0
217,17.0
218,18.0
219,25.0
220,18.0
221,26.0
222,10.0
223,15.0
224,14.0
225,16.0
226,15.0
227,19.0
228,15.0
229,18.0
230,20.0
231,18.0
232,16.0
233,10.0
234,15.0
235,14.0
236,14.0
237,12.0
238,9.0
239,15.0
240,11.0
241,17.0
242,13.0
243,12.0
244,9.0
245,15.0
246,8.0
247,12.0
248,12.0
249,8.0
250,14.0
251,18.0
252,16.0
253,10.0
254,16.0
255,11.0
256,14.0
257,11.0
258,10.0
259,9.0
260,17.0
261,9.0
262,10.0
263,14.0
264,4.0
265,8.0
266,9.0
267,11.0
268,8.0
269,14.0
270,13.0
271,13.0
272,15.0
273,11.0
274,6.0
275,11.0
276,11.0
277,6.0
278,13.0
279,11.0
280,4.0
281,4.0
282,10.0
283,15.0
284,8.0
285,14.0
286,7.0
287,10.0
288,12.0
289,6.0
290,9.0
291,5.0
292,5.0
293,5.0
294,7.0
295,8.0
296,5.0
297,9.0
298,8.0
299,9.0
300,11.0
301,7.0
302,4.0
303,8.0
304,11.0
305,4.0
306,8.0
307,5.0
308,12.0
309,8.0
310,7.0
311,6.0
312,7.0
313,3.0
314,9.0
315,7.0
316,3.0
317,7.0
318,5.0
319,8.0
320,3.0
321,12.0
322,8.0
323,12.0
324,6.0
325,4.0
326,3.0
327,5.0
328,6.0
329,3.0
330,5.0
331,3.0
332,11.0
333,3.0
334,3.0
335,3.0
336,5.0
337,4.0
338,5.0
339,7.0
340,5.0
341,3.0
342,6.0
343,6.0
344,5.0
345,8.0
346,3.0
347,6.0
348,5.0
349,8.0
350,6.0
351,7.0
352,4.0
353,4.0
354,2.0
355,6.0
356,3.0
357,2.0
358,8.0
359,4.0
360,3.0
361,4.0
362,3.0
363,5.0
364,4.0
365,9.0
366,2.0
367,3.0
368,5.0
369,6.0
370,6.0
371,3.0
372,1.0
373,4.0
374,3.0
375,1.0
376,4.0
377,4.0
378,8.0
379,6.0
380,4.0
381,4.0
382,3.0
383,4.0
384,1.0
385,3.0
386,3.0
387,6.0
388,8.0
389,1.0
390,2.0
391,4.0
392,2.0
393,2.0
394,4.0
395,1.0
396,7.0
397,5.0
398,3.0
399,2.0
400,2.0
401,2.0
402,2.0
403,4.0
404,5.0
405,3.0
406,1.0
407,3.0
408,3.0
409,1.0
410,2.0
411,2.0
412,2.0
413,4.0
414,4.0
415,1.0
416,10.0
417,1.0
418,5.0
419,1.0
420,1.0
421,5.0
422,1.0
423,3.0
424,2.0
425,3.0
426,3.0
427,5.0
428,4.0
429,1.0
430,0.0
431,5.0
432,3.0
433,4.0
434,1.0
435,5.0
436,4.0
437,2.0
438,1.0
439,5.0
440,1.0
441,1.0
442,2.0
443,2.0
444,2.0
445,3.0
446,5.0
447,0.0
448,2.0
449,2.0
450,2.0
451,0.0
452,2.0
453,2.0
454,3.0
455,2.0
456,2.0
457,2.0
458,1.0
459,2.0
460,3.0
461,2.0
462,2.0
463,3.0
464,2.0
465,4.0
466,0.0
467,3.0
468,3.0
469,2.0
470,3.0
471,3.0
472,2.0
473,2.0
474,0.0
475,0.0
476,0.0
477,3.0
478,3.0
479,1.0
480,1.0
481,2.0
482,1.0
483,4.0
484,1.0
485,3.0
486,2.0
487,2.0
488,2.0
489,2.0
490,4.0
491,2.0
492,2.0
493,0.0
494,3.0
495,2.0
496,2.0
497,1.0
498,4.0
499,0.0
500,3.0
501,0.0
502,2.0
503,2.0
504,1.0
505,0.0
506,2.0
507,1.0
508,5.0
509,1.0
510,0.0
511,0.0
512,2.0
513,1.0
514,1.0
515,2.0
516,0.0
517,2.0
518,2.0
519,2.0
520,2.0
521,5.0
522,2.0
523,0.0
524,0.0
525,2.0
526,0.0
527,1.0
528,0.0
529,1.0
530,1.0
531,0.0
532,2.0
533,3.0
534,2.0
535,0.0
536,1.0
537,3.0
538,2.0
539,1.0
540,1.0
541,2.0
542,3.0
543,1.0
544,3.0
545,2.0
546,2.0
547,0.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,2.0
556,1.0
557,0.0
558,1.0
559,0.0
560,1.0
561,0.0
562,0.0
563,2.0
564,1.0
565,1.0
566,1.0
567,0.0
568,0.0
569,3.0
570,1.0
571,1.0
