,grado
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,103.0
41,79.0
42,73.0
43,76.0
44,82.0
45,58.0
46,65.0
47,62.0
48,61.0
49,50.0
50,60.0
51,47.0
52,43.0
53,37.0
54,37.0
55,31.0
56,38.0
57,32.0
58,33.0
59,22.0
60,24.0
61,22.0
62,21.0
63,25.0
64,20.0
65,29.0
66,35.0
67,19.0
68,19.0
69,18.0
70,19.0
71,13.0
72,14.0
73,9.0
74,21.0
75,11.0
76,18.0
77,14.0
78,5.0
79,12.0
80,18.0
81,18.0
82,10.0
83,14.0
84,3.0
85,10.0
86,6.0
87,5.0
88,3.0
89,6.0
90,13.0
91,10.0
92,13.0
93,5.0
94,10.0
95,6.0
96,9.0
97,18.0
98,6.0
99,5.0
100,5.0
101,4.0
102,10.0
103,4.0
104,4.0
105,10.0
106,7.0
107,1.0
108,7.0
109,5.0
110,3.0
111,8.0
112,7.0
113,4.0
114,5.0
115,4.0
116,6.0
117,0.0
118,10.0
119,2.0
120,6.0
121,5.0
122,5.0
123,2.0
124,3.0
125,2.0
126,1.0
127,1.0
128,3.0
129,1.0
130,6.0
131,3.0
132,3.0
133,1.0
134,2.0
135,2.0
136,1.0
137,1.0
138,2.0
139,0.0
140,2.0
141,3.0
142,4.0
143,3.0
144,1.0
145,5.0
146,2.0
147,3.0
148,1.0
149,2.0
150,2.0
151,2.0
152,1.0
153,2.0
154,1.0
155,3.0
156,2.0
157,3.0
158,2.0
159,1.0
160,0.0
161,3.0
162,0.0
163,3.0
164,2.0
165,2.0
166,2.0
167,2.0
168,3.0
169,1.0
170,4.0
171,1.0
172,1.0
173,0.0
174,1.0
175,0.0
176,3.0
177,0.0
178,1.0
179,1.0
180,2.0
181,3.0
182,0.0
183,1.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,1.0
190,0.0
191,2.0
192,0.0
193,1.0
194,1.0
195,2.0
196,1.0
197,0.0
198,0.0
199,1.0
200,1.0
201,2.0
202,4.0
203,0.0
204,1.0
205,0.0
206,2.0
207,1.0
208,2.0
209,0.0
210,1.0
211,0.0
212,0.0
213,1.0
214,0.0
215,1.0
216,1.0
217,2.0
218,2.0
219,1.0
220,1.0
221,1.0
222,0.0
223,2.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,1.0
230,1.0
231,0.0
232,0.0
233,1.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,4.0
244,2.0
245,1.0
246,0.0
247,0.0
248,0.0
249,0.0
250,1.0
251,0.0
252,0.0
253,0.0
254,1.0
255,0.0
256,1.0
257,1.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,1.0
265,0.0
266,1.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,1.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,1.0
280,0.0
281,1.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,1.0
288,1.0
289,0.0
290,1.0
291,1.0
292,0.0
293,1.0
294,0.0
295,2.0
296,1.0
297,0.0
298,1.0
299,0.0
300,0.0
301,1.0
302,0.0
303,1.0
304,1.0
305,0.0
306,0.0
307,1.0
308,1.0
309,0.0
310,0.0
311,0.0
312,1.0
313,0.0
314,0.0
315,1.0
316,0.0
317,0.0
318,1.0
319,1.0
320,0.0
321,0.0
322,0.0
323,0.0
324,1.0
325,1.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,1.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,3.0
341,0.0
342,0.0
343,0.0
344,3.0
345,0.0
346,1.0
347,1.0
348,1.0
349,1.0
350,0.0
351,1.0
352,1.0
353,0.0
354,0.0
355,0.0
356,0.0
357,1.0
358,2.0
359,0.0
360,1.0
361,1.0
362,1.0
363,0.0
364,1.0
365,2.0
366,0.0
367,0.0
368,0.0
369,2.0
370,1.0
371,2.0
372,1.0
373,1.0
374,0.0
375,1.0
376,1.0
377,1.0
378,0.0
379,0.0
380,0.0
381,1.0
382,1.0
383,1.0
384,2.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,1.0
391,0.0
392,0.0
393,0.0
394,1.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,1.0
405,0.0
406,2.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,1.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,1.0
